samplnr	LivingArea	donation
1	City	1.20
2	City	0.20
3	City	2.80
4	City	0.90
5	City	0.00
6	City	1.70
7	City	9.50
8	City	1.20
9	City	0.50
10	City	8.20
11	City	0.30
12	City	0.40
13	City	0.50
14	City	0.60
15	City	1.10
16	City	3.80
17	City	3.50
18	City	0.90
19	City	0.00
20	City	3.60
21	City	1.60
22	City	2.90
23	City	4.00
24	City	2.40
25	City	5.00
26	City	6.00
27	City	1.50
28	City	2.10
29	City	0.80
30	City	1.40
31	City	5.00
32	City	8.50
33	City	2.30
34	City	7.50
35	City	2.10
36	City	0.60
37	City	0.30
38	City	4.50
39	City	1.50
40	City	10.00
41	City	2.10
42	City	3.10
43	City	1.00
44	City	1.80
45	City	2.60
46	City	1.00
47	City	0.40
48	City	3.50
49	City	2.70
50	City	2.80
51	Village	2.70
52	Village	2.20
53	Village	0.60
54	Village	0.70
55	Village	0.80
56	Village	1.70
57	Village	1.80
58	Village	1.20
59	Village	0.60
60	Village	5.30
61	Village	0.30
62	Village	3.20
63	Village	0.80
64	Village	5.50
65	Village	8.50
66	Village	0.00
67	Village	3.80
68	Village	0.60
69	Village	0.80
70	Village	7.50
71	Village	3.90
72	Village	10.00
73	Village	1.40
74	Village	1.00
75	Village	0.80
76	Village	0.80
77	Village	2.50
78	Village	2.10
79	Village	0.00
80	Village	0.30
81	Village	1.00
82	Village	1.60
83	Village	2.60
84	Village	0.10
85	Village	9.00
86	Village	4.60
87	Village	1.50
88	Village	3.90
89	Village	0.60
90	Village	0.40
91	Village	2.80
92	Village	1.50
93	Village	0.90
94	Village	2.00
95	Village	2.50
96	Village	3.00
97	Village	0.50
98	Village	0.90
99	Village	6.40
100	Village	0.50
