Productcode	iodine2011	iodine2016
1	76.30	70.60
2	48.60	51.30
3	70.30	69.30
4	71.90	70.80
5	59.80	64.20
6	73.10	77.10
7	47.70	50.30
8	69.20	67.60
9	71.90	65.80
11	71.10	72.30
12	70.30	69.10
13	67.80	65.60
14	55.30	54.10
16	60.90	59.50
17	62.00	62.30
18	70.40	70.60
19	71.90	67.40
20	39.50	41.90
21	44.70	47.20
22	59.10	58.00
23	49.60	52.30
24	57.00	48.50
25	60.90	60.10
26	63.40	60.00
27	61.90	61.70
29	60.90	59.70
30	61.80	61.20
31	62.00	61.50
32	69.20	67.60
33	70.40	70.60
34	70.40	70.60
35	70.40	69.20
36	67.40	66.30
37	68.10	67.00
38	79.00	83.30
39	72.50	63.30
40	48.70	51.30
41	44.60	47.00
42	84.60	67.90
43	86.40	69.30
44	85.80	74.80
46	74.10	60.70
47	72.70	63.40
48	80.30	70.00
49	75.00	65.40
50	57.80	60.90
51	70.30	74.20
52	50.30	53.30
53	46.30	48.80
54	69.20	67.60
55	39.10	41.50
56	48.10	50.80
57	38.70	41.10
58	65.90	65.00
59	67.40	69.20
60	46.60	49.20
61	64.00	67.50
62	61.90	61.10
63	40.00	43.10
64	70.40	70.60
