ID	Type	Certification
1	Fruit	1
2	Vegetable	3
3	Vegetable	3
4	Fruit	2
5	Fruit	3
6	Fruit	3
7	Vegetable	3
8	Vegetable	1
9	Fruit	3
10	Vegetable	3
11	Both	3
12	Fruit	3
13	Vegetable	3
14	Vegetable	3
15	Both	3
16	Vegetable	3
17	Vegetable	2
18	Vegetable	1
19	Vegetable	2
20	Vegetable	3
21	Both	3
22	Vegetable	2
23	Fruit	2
24	Vegetable	1
25	Vegetable	3
26	Both	2
27	Vegetable	2
28	Vegetable	2
29	Vegetable	3
30	Both	3
31	Both	2
32	Both	3
33	Vegetable	3
34	Fruit	3
35	Vegetable	2
36	Vegetable	3
37	Both	1
38	Fruit	3
39	Vegetable	2
40	Both	3
41	Fruit	3
42	Both	1
43	Both	2
44	Both	3
45	Both	3
46	Both	2
47	Fruit	2
48	Vegetable	1
49	Fruit	3
50	Both	2
51	Fruit	2
52	Vegetable	3
53	Vegetable	1
54	Both	2
55	Fruit	3
56	Vegetable	3
57	Vegetable	2
58	Fruit	2
59	Vegetable	1
60	Vegetable	2
61	Both	1
62	Both	2
63	Vegetable	1
64	Vegetable	2
65	Vegetable	3
66	Both	2
67	Fruit	3
68	Vegetable	2
69	Both	2
70	Both	2
71	Vegetable	2
72	Fruit	1
73	Vegetable	3
74	Fruit	1
75	Fruit	1
76	Both	1
77	Vegetable	3
78	Vegetable	3
79	Vegetable	1
80	Vegetable	2
81	Both	2
82	Both	1
83	Both	3
84	Fruit	2
85	Both	2
86	Fruit	3
87	Both	3
88	Fruit	2
89	Vegetable	3
90	Both	2
91	Both	3
92	Fruit	2
93	Vegetable	1
94	Fruit	2
95	Vegetable	2
96	Fruit	3
97	Vegetable	1
98	Vegetable	1
99	Both	1
100	Fruit	1
101	Vegetable	3
102	Vegetable	2
103	Both	3
104	Vegetable	1
105	Fruit	3
106	Vegetable	3
107	Both	3
108	Fruit	1
109	Both	2
110	Vegetable	3
111	Vegetable	3
112	Vegetable	2
113	Vegetable	2
114	Fruit	2
115	Fruit	2
116	Vegetable	3
117	Both	3
118	Vegetable	1
119	Fruit	3
120	Both	2
121	Vegetable	2
122	Vegetable	2
123	Vegetable	3
124	Fruit	2
125	Both	3
126	Fruit	1
127	Vegetable	3
128	Vegetable	2
129	Vegetable	3
130	Fruit	2
131	Vegetable	2
132	Vegetable	3
133	Fruit	2
134	Fruit	3
135	Vegetable	1
136	Vegetable	2
137	Vegetable	3
138	Fruit	2
139	Both	3
140	Both	3
141	Vegetable	1
142	Both	3
143	Fruit	1
144	Both	2
145	Vegetable	1
146	Vegetable	3
147	Both	2
148	Fruit	1
149	Vegetable	3
150	Vegetable	3
151	Fruit	2
152	Vegetable	3
153	Fruit	3
154	Vegetable	3
155	Fruit	2
156	Fruit	3
157	Vegetable	3
158	Both	3
159	Vegetable	2
160	Vegetable	2
161	Vegetable	2
162	Vegetable	2
163	Both	2
164	Both	2
165	Vegetable	2
166	Vegetable	2
167	Both	3
168	Vegetable	3
169	Vegetable	3
170	Both	2
171	Fruit	2
172	Fruit	3
173	Both	2
174	Both	2
175	Both	1
176	Vegetable	3
177	Vegetable	3
178	Vegetable	2
179	Vegetable	2
180	Vegetable	3
181	Fruit	3
182	Fruit	3
183	Both	2
184	Vegetable	3
185	Both	2
186	Fruit	3
187	Vegetable	3
188	Vegetable	2
189	Fruit	3
190	Fruit	3
191	Fruit	2
192	Vegetable	3
193	Both	2
194	Vegetable	2
195	Fruit	3
196	Fruit	2
197	Fruit	3
198	Vegetable	2
199	Vegetable	2
200	Fruit	3
201	Both	3
202	Vegetable	2
203	Both	3
204	Fruit	1
205	Vegetable	2
206	Fruit	2
207	Both	3
208	Vegetable	3
209	Vegetable	3
210	Vegetable	1
211	Fruit	3
212	Vegetable	2
213	Vegetable	3
214	Both	3
215	Vegetable	1
216	Both	1
217	Fruit	2
218	Fruit	3
219	Both	2
220	Vegetable	2
