id	continent	sex	age	height	shoesize	we	contcode	gender
1	America                             	M  	34	166	38	9	2	2
2	Asia                                	F  	22	157	37	0	3	1
3	America                             	F  	29	168	39	0	2	1
4	Asia                                	M  	23	175	40	2	3	2
5	America                             	M  	22	185	44	2	2	2
6	America                             	M  	24	168	38	1	2	2
7	Europe                              	M  	25	182	44	0.5	4	2
8	Asia                                	F  	21	162	37	0.5	3	1
9	Asia                                	M  	23	184	40	0	3	2
10	America                             	M  	25	184	44	6	2	2
11	Europe                              	M  	28	178	42	0	4	2
12	Europe                              	M  	27	190	45	0.75	4	2
13	Asia                                	M  	33	164	42	1	3	2
14	Europe                              	M  	25	186	43	0	4	2
15	Europe                              	M  	27	167	37	1	4	2
16	Asia                                	M  	21	168	39	4	3	2
17	Africa                              	M  	40	190	45	11	1	2
18	Europe                              	F  	23	172	38	0.5	4	1
19	Europe                              	F  	22	175	38	0.75	4	1
20	Europe                              	F  	22	164	38	0	4	1
21	Europe                              	F  	22	172	39	1	4	1
22	Africa                              	M  	35	189	43	6	1	2
23	Asia                                	M  	32	175	42	10	3	2
24	America                             	M  	28	173	40	5	2	2
25	Europe                              	F  	24	175	39	0	4	1
26	Europe                              	F  	21	173	40	1	4	1
27	Europe                              	F  	23	179	40	1	4	1
28	Asia                                	M  	33	170	42	6	3	2
29	Africa                              	F  	26	167	38	7	1	1
30	Europe                              	F  	24	170	39	3	4	1
31	Asia                                	M  	30	175	42	7	3	2
32	Asia                                	F  	24	148	37	0	3	1
33	Europe                              	M  	23	173	43	1	4	2
34	America                             	F  	23	160	39	2	2	1
35	Asia                                	M  	27	162	40	3.5	3	2
36	Asia                                	F  	29	163	38	5	3	1
37	Asia                                	M  	24	165	42.5	2	3	2
38	Europe                              	M  	23	176	42	1	4	2
39	Europe                              	M  	22	182	45	1	4	2
40	America                             	M  	25	182	42	1	2	2
41	Europe                              	F  	24	167	38	1	4	1
42	Europe                              	F  	21	167	38	1	4	1
43	Asia                                	M  	24	180	44	2	3	2
44	Europe                              	M  	21	182	43	0.5	4	2
45	America                             	F  	25	156	36	2	2	1
46	Asia                                	M  	30	192	41	7	3	2
47	America                             	F  	29	175	40	5	2	1
48	Europe                              	M  	33	180	44	3	4	2
49	Asia                                	M  	25	165	40	2	3	2
50	Asia                                	M  	25	180	41	0	3	2
51	Africa                              	M  	28	170	39	6	1	2
52	Africa                              	M  	29	175	40	6	1	2
53	Europe                              	M  	24	175	42	1	4	2
