manufact	model	price	engine_s	horsepow	ln_price	pk_binned
Acura	Integra	21.5	1.8	140	3.068052935	"(134,160]"
Acura	TL	28.4	3.2	225	3.346389145	"(213,239]"
Acura	RL	42	3.5	210	3.737669618	"(187,213]"
Audi	A4	23.99	1.8	150	3.177637077	"(134,160]"
Audi	A6	33.95	2.8	200	3.524888854	"(187,213]"
Audi	A8	62	4.2	310	4.127134385	"(292,318]"
BMW	323i	26.99	2.5	170	3.295466427	"(160,187]"
BMW	328i	33.4	2.8	193	3.5085559	"(187,213]"
BMW	528i	38.9	2.8	193	3.660994251	"(187,213]"
Buick	Century	21.975	3.1	175	3.089905444	"(160,187]"
Buick	Regal	25.3	3.8	240	3.230804396	"(239,266]"
Buick	ParkAvenue	31.965	3.8	205	3.464641554	"(187,213]"
Buick	LeSabre	27.885	3.8	205	3.32808891	"(187,213]"
Cadillac	DeVille	39.895	4.6	275	3.686251003	"(266,292]"
Cadillac	Seville	44.475	4.6	275	3.794927234	"(266,292]"
Cadillac	Eldorado	39.665	4.6	275	3.680469187	"(266,292]"
Cadillac	Catera	31.01	3	200	3.434309733	"(187,213]"
Cadillac	Escalade	46.225	5.7	255	3.833520777	"(239,266]"
Chevrolet	Cavalier	13.26	2.2	115	2.584751985	"(108,134]"
Chevrolet	Malibu	16.535	3.1	170	2.805479346	"(160,187]"
Chevrolet	Lumina	18.89	3.1	175	2.938632682	"(160,187]"
Chevrolet	MonteCarlo	19.39	3.4	180	2.964757469	"(160,187]"
Chevrolet	Camaro	24.34	3.8	200	3.192121088	"(187,213]"
Chevrolet	Corvette	45.705	5.7	345	3.822207701	"(345,371]"
Chevrolet	Prizm	13.96	1.8	120	2.636196097	"(108,134]"
Chevrolet	Metro	9.235	1	55	2.223000614	"(54.6,81.3]"
Chevrolet	Impala	18.89	3.4	180	2.938632682	"(160,187]"
Chrysler	SebringCoupe	19.84	2.5	163	2.987700102	"(160,187]"
Chrysler	SebringConv.	24.495	2.5	168	3.198469015	"(160,187]"
Chrysler	Concorde	22.245	2.7	200	3.102117264	"(187,213]"
Chrysler	Cirrus	16.48	2	132	2.802147524	"(108,134]"
Chrysler	LHS	28.34	3.5	253	3.344274234	"(239,266]"
Chrysler	300M	29.185	3.5	253	3.373654879	"(239,266]"
Dodge	Neon	12.64	2	132	2.536866389	"(108,134]"
Dodge	Avenger	19.045	2.5	163	2.9468046	"(160,187]"
Dodge	Stratus	20.23	2.5	168	3.007166651	"(160,187]"
Dodge	Intrepid	22.505	2.7	202	3.113737507	"(187,213]"
Dodge	Viper	69.725	8	450	4.244558934	"(424,450]"
Dodge	RamPickup	19.46	5.2	230	2.968361077	"(213,239]"
Dodge	RamWagon	21.315	3.9	175	3.05941105	"(160,187]"
