environment	log_O2	log_weight	log_O2_kg	RPM	Temp	dummy
lagoon	1.59	2.505	2.084	0	6.7	1
lagoon	1.396	2.037	2.358	12.5	10.8	1
lagoon	1.467	2.155	2.311	4.5	10.3	1
lagoon	1.659	2.352	2.307	6	10.3	1
lagoon	1.553	2.241	2.312	6	8.9	1
lagoon	1.591	2.274	2.317	3.5	8.9	1
lagoon	1.525	2.155	2.37	0	9.4	1
lagoon	1.499	2.017	2.482	5	9.4	1
lake	1.305	2.14	2.165	1	9.2	0
lake	1.599	2.562	2.036	4	9.2	0
lake	1.412	2.146	2.266	8	10.8	0
lake	1.573	2.263	2.31	10	10.6	0
lake	1.524	2.344	2.179	5	9.4	0
lake	1.464	2.31	2.154	7	9.4	0
lake	1.564	2.408	2.156	5.5	9.7	0
lake	1.042	2.13	1.912	2	9.7	0
lake	1.308	2.255	2.053	5	9.4	0
lake	1.619	2.559	2.061	5	8.3	0
lake	1.445	2.364	2.081	3	8.9	0
lake	1.485	2.335	2.151	2.5	8.9	0
lake	1.224	2.111	2.114	7.5	9.2	0
lake	1.403	2.111	2.293	7	9.2	0
