block	plotnr	Nitrogen	Spacing	Yield	treatment
1	3	0	more	48.21025641	11
1	15	0	less	51.84273504	1
1	8	0	recommended	47.36752137	6
1	9	75	more	56.72478632	12
1	11	75	less	57.2	2
1	2	75	recommended	54.98119658	7
1	1	150	more	61.17094017	13
1	7	150	less	66	3
1	14	150	recommended	62.88547009	8
1	4	225	more	60.0957265	14
1	12	225	less	69.2	4
1	10	225	recommended	61.4	9
1	6	330	more	63.2	15
1	13	330	less	68.9	5
1	5	330	recommended	64.04786325	10
2	4	0	more	31.90348525	11
2	13	0	less	34.33422699	1
2	5	0	recommended	36.79028895	6
2	10	75	more	27.16956293	12
2	1	75	less	33.2	2
2	2	75	recommended	36.39020537	7
2	9	150	more	37.95012165	13
2	3	150	less	46.1	3
2	12	150	recommended	34.1	8
2	15	225	more	45.93434343	14
2	6	225	less	55	4
2	8	225	recommended	43.1010101	9
2	7	330	more	31.12307692	15
2	11	330	less	39.52136752	5
2	14	330	recommended	36.23760684	10
