"genotype"	"dbh"	"thickness"
1	20.9	1
1	21.5	1
1	24.1	1
1	25.4	1
1	25.6	1
1	25.6	1
1	25.7	1
1	25.7	1
2	25.9	1
1	26.3	1
1	26.5	1
1	26.7	1
1	26.8	1
1	26.8	1
1	26.8	1
1	26.8	1
1	27	1
1	27.3	1
1	27.4	1
1	27.8	1
1	28	1
1	28.3	1
1	28.3	1
1	28.4	1
1	28.4	1
1	28.5	1
1	28.6	1
1	28.7	1
1	28.7	1
1	28.9	1
1	29	1
1	29.3	1
1	29.3	1
1	29.6	1
1	29.7	1
1	29.7	1
1	30.1	2
1	30.2	2
1	30.3	2
1	30.3	2
1	30.7	2
1	30.8	2
2	30.8	2
1	31	2
1	31.2	2
1	31.4	2
3	32	2
2	32.3	2
1	32.3	2
1	32.4	2
4	32.4	2
1	32.5	2
1	32.5	2
2	32.5	2
2	32.7	2
2	32.7	2
1	32.8	2
1	32.8	2
1	33	2
2	33.1	2
4	33.5	2
1	33.5	2
1	33.5	2
2	33.6	2
1	33.9	2
2	34.1	2
2	34.3	2
4	34.5	2
1	34.7	2
1	34.8	2
2	35.2	2
1	35.3	2
1	35.3	2
1	35.4	2
3	35.5	2
1	35.6	2
3	37.3	3
1	37.9	3
2	38.1	3
4	38.1	3
1	38.2	3
3	38.7	3
3	38.9	3
3	39.2	3
2	39.3	3
3	39.4	3
4	39.4	3
3	39.5	3
3	39.6	3
3	40.4	3
1	40.6	3
2	40.7	3
2	41	3
3	41.1	3
4	41.2	3
4	42.6	3
4	42.6	3
2	43	3
3	43.6	3
2	43.6	3
