dbh	height	volume	lnvol	lndbh	clone
38	18.5	813	6.70073111	3.63758616	Robusta
40	19.9	1304	7.173191742	3.688879454	Dorschkamp
77	25.4	4538	8.420241665	4.343805422	Donk
59	19.9	2685	7.895436007	4.077537444	Robusta
53	18.4	1897	7.54802897	3.970291914	Robusta
51	20.5	1754	7.469654173	3.931825633	Unal
69	28.5	5263	8.568456485	4.234106505	Agathe
97	34.2	9927	9.203013597	4.574710979	Donk
55	30.5	3522	8.166784289	4.007333185	Dorschkamp
78	33.3	6696	8.809265612	4.356708827	Dorschkamp
71	24.5	4949	8.506940815	4.262679877	Robusta
95	35.1	9458	9.154616223	4.553876892	Unal
115	35.7	16383	9.703999491	4.744932128	Donk
94	31.1	12027	9.394909401	4.543294782	Robusta
45	17	1268	7.145196135	3.80666249	Agathe
75	27	6523	8.783089672	4.317488114	Robusta
38	13.7	723	6.583409222	3.63758616	Donk
35	17.7	785	6.665683718	3.555348061	Unal
35	12.7	690	6.536691598	3.555348061	Unal
26	14.9	449	6.107022888	3.258096538	Donk
37	14.4	856	6.752270376	3.610917913	Robusta
28	12.7	343	5.837730447	3.33220451	Dorschkamp
31	11.8	533	6.278521424	3.433987204	Robusta
55	30.9	3338	8.113127104	4.007333185	Robusta
55	28.7	2976	7.998335396	4.007333185	Robusta
82	28.3	7703	8.949365142	4.406719247	Donk
28	13.7	463	6.137727054	3.33220451	Dorschkamp
104	33.1	12068	9.3983126	4.644390899	Robusta
100	35.6	12730	9.451716692	4.605170186	Robusta
51	26.7	2529	7.835579247	3.931825633	Agathe
99	33	11472	9.347664563	4.59511985	Robusta
61	26.9	3624	8.195333667	4.110873864	Donk
46	26.2	2270	7.72753511	3.828641396	Dorschkamp
27	12.1	387	5.958424693	3.295836866	Unal
34	15.1	751	6.621405652	3.526360525	Dorschkamp
58	28.2	3152	8.055792451	4.060443011	Unal
97	29.9	10099	9.220191688	4.574710979	Donk
45	16.8	1146	7.044032897	3.80666249	Dorschkamp
62	25.9	3386	8.127404563	4.127134385	Robusta
36	17	836	6.728628613	3.583518938	Robusta
104	35.7	11381	9.339700577	4.644390899	Donk
56	25.7	3388	8.127995056	4.025351691	Agathe
82	35.5	7931	8.97853441	4.406719247	Robusta
50	24.8	2450	7.803843304	3.912023005	Agathe
70	26.4	4550	8.422882512	4.248495242	Unal
28	14.3	451	6.11146734	3.33220451	Dorschkamp
88	27.2	6967	8.848939995	4.477336814	Agathe
53	23.5	2473	7.813187268	3.970291914	Dorschkamp
31	16.6	737	6.602587892	3.433987204	Dorschkamp
38	11.7	675	6.514712691	3.63758616	Agathe
103	32.7	12327	9.419547258	4.634728988	Unal
34	11.7	485	6.184148891	3.526360525	Robusta
69	24.5	4417	8.393216012	4.234106505	Robusta
63	27.1	3905	8.270013062	4.143134726	Robusta
97	31.3	9136	9.119977932	4.574710979	Robusta
66	22.6	3936	8.277920258	4.189654742	Agathe
46	23.9	2169	7.682021511	3.828641396	Robusta
45	24.2	1749	7.466799475	3.80666249	Robusta
41	14.5	986	6.893656355	3.713572067	Donk
70	28.4	4944	8.505929999	4.248495242	Unal
36	16.5	768	6.643789733	3.583518938	Robusta
46	16.2	1131	7.030857476	3.828641396	Agathe
49	20.3	1657	7.412764017	3.891820298	Dorschkamp
49	26.7	2473	7.813187268	3.891820298	Dorschkamp
103	33.8	12251	9.413362845	4.634728988	Robusta
31	12.9	534	6.280395839	3.433987204	Unal
59	20.4	2534	7.837554361	4.077537444	Dorschkamp
83	32.2	7787	8.960210956	4.418840608	Dorschkamp
69	21.7	3600	8.188689124	4.234106505	Unal
49	18.1	1384	7.232733136	3.891820298	Unal
36	19.1	873	6.771935556	3.583518938	Unal
52	18.3	2050	7.625595072	3.951243719	Dorschkamp
48	25	1888	7.543273347	3.871201011	Donk
38	18.3	917	6.821107472	3.63758616	Agathe
71	22.4	4693	8.453827316	4.262679877	Donk
26	11.9	373	5.92157842	3.258096538	Agathe
55	20.2	2654	7.883823215	4.007333185	Dorschkamp
28	14.8	385	5.953243334	3.33220451	Donk
101	32	12468	9.430920641	4.615120517	Agathe
46	17.9	1381	7.230563153	3.828641396	Dorschkamp
108	33.3	14852	9.605889815	4.682131227	Dorschkamp
45	17.8	1359	7.214504414	3.80666249	Donk
49	20.7	1800	7.495541944	3.891820298	Donk
53	17.2	1677	7.424761762	3.970291914	Donk
73	31.2	5204	8.55718284	4.290459441	Dorschkamp
