source	target	weight
PA14_06170	PA14_06180	0.895537057844007
PA14_09210	PA14_09220	0.989186488629195
PA14_09210	PA14_09230	0.949641673809787
PA14_09220	PA14_09230	0.900961824295906
PA14_09210	PA14_09240	0.993796842297057
PA14_09220	PA14_09240	0.970197537084174
PA14_09230	PA14_09240	0.971828175296338
PA14_09210	PA14_09270	0.992725708683316
PA14_09220	PA14_09270	0.986457903334577
PA14_09230	PA14_09270	0.948576573314447
PA14_09240	PA14_09270	0.986203119055928
PA14_09210	PA14_09280	0.996602826467104
PA14_09220	PA14_09280	0.983378913447057
PA14_09230	PA14_09280	0.953567821952264
PA14_09240	PA14_09280	0.993770306923174
PA14_09270	PA14_09280	0.992894034376614
PA14_09210	PA14_09290	0.923298394732402
PA14_09220	PA14_09290	0.865068908191629
PA14_09230	PA14_09290	0.985140125206737
PA14_09240	PA14_09290	0.955727750943642
PA14_09270	PA14_09290	0.922564627373042
PA14_09280	PA14_09290	0.937264812355123
PA14_09210	PA14_09300	0.988647704739966
PA14_09220	PA14_09300	0.981572516008555
PA14_09230	PA14_09300	0.938087476705452
PA14_09240	PA14_09300	0.983421772848507
PA14_09270	PA14_09300	0.989818893357816
PA14_09280	PA14_09300	0.992481230396793
PA14_09290	PA14_09300	0.926396878166
PA14_09210	PA14_09320	0.944869141727667
PA14_09220	PA14_09320	0.89166426741782
PA14_09230	PA14_09320	0.98407275179514
PA14_09240	PA14_09320	0.966377163906421
PA14_09270	PA14_09320	0.935783777457108
PA14_09280	PA14_09320	0.947800729331064
PA14_09290	PA14_09320	0.985059201379113
PA14_09300	PA14_09320	0.943213391231211
PA14_09210	PA14_09340	0.980812845532279
PA14_09220	PA14_09340	0.96081232604657
PA14_09230	PA14_09340	0.97381769594632
PA14_09240	PA14_09340	0.987984189535433
PA14_09270	PA14_09340	0.98822141616269
PA14_09280	PA14_09340	0.984217471989121
PA14_09290	PA14_09340	0.955029205644642
PA14_09300	PA14_09340	0.976123575453281
PA14_09320	PA14_09340	0.954139627010332
PA14_00650	PA14_09350	0.858586069162671
PA14_09210	PA14_09350	0.957017684043861
PA14_09220	PA14_09350	0.962774336614521
PA14_09230	PA14_09350	0.896259735878786
PA14_09240	PA14_09350	0.939052444382952
PA14_09270	PA14_09350	0.976148279648234
PA14_09280	PA14_09350	0.95232164184838
PA14_09290	PA14_09350	0.861266905589677
PA14_09300	PA14_09350	0.951340053118946
PA14_09320	PA14_09350	0.880736721760717
PA14_09340	PA14_09350	0.955653797635534
PA14_09210	PA14_09370	0.988111887877965
PA14_09220	PA14_09370	0.958442818479313
PA14_09230	PA14_09370	0.97697917848021
PA14_09240	PA14_09370	0.99338364011775
PA14_09270	PA14_09370	0.979932753767798
PA14_09280	PA14_09370	0.987007272181381
PA14_09290	PA14_09370	0.959339284504241
PA14_09300	PA14_09370	0.977311060219975
PA14_09320	PA14_09370	0.977307785893142
PA14_09340	PA14_09370	0.982300592901915
PA14_09350	PA14_09370	0.938276912826752
PA14_09210	PA14_09380	0.978669065904444
PA14_09220	PA14_09380	0.9629673575586
PA14_09230	PA14_09380	0.956529770290502
PA14_09240	PA14_09380	0.97888181242831
PA14_09270	PA14_09380	0.978118267043521
PA14_09280	PA14_09380	0.978427303965759
PA14_09290	PA14_09380	0.931636535713967
PA14_09300	PA14_09380	0.967929031660479
PA14_09320	PA14_09380	0.94032940227654
PA14_09340	PA14_09380	0.985904842893018
PA14_09350	PA14_09380	0.952143562537113
PA14_09370	PA14_09380	0.983772161580536
PA14_00620	PA14_09450	0.867147384208451
PA14_09210	PA14_09450	0.889958404839256
PA14_09220	PA14_09450	0.859895680893879
PA14_09230	PA14_09450	0.873692684853641
PA14_09240	PA14_09450	0.907512676855564
PA14_09270	PA14_09450	0.867973291914734
PA14_09280	PA14_09450	0.901889179156809
PA14_09290	PA14_09450	0.877360677417816
PA14_09300	PA14_09450	0.884902402503055
PA14_09320	PA14_09450	0.867086212584605
PA14_09340	PA14_09450	0.866076671557904
PA14_09370	PA14_09450	0.900691590932075
PA14_09380	PA14_09450	0.874250634094886
PA14_00620	PA14_09500	0.853912051531655
PA14_09210	PA14_09500	0.850862024055113
PA14_09230	PA14_09500	0.895860144457588
PA14_09240	PA14_09500	0.883635425924758
PA14_09280	PA14_09500	0.86268524994628
PA14_09290	PA14_09500	0.925181649754171
PA14_09300	PA14_09500	0.858630762210169
PA14_09320	PA14_09500	0.921772458224947
PA14_09340	PA14_09500	0.851237299096696
PA14_09370	PA14_09500	0.896504869632431
PA14_09450	PA14_09500	0.888241423537997
PA14_06170	PA14_11140	0.917154215529358
PA14_06180	PA14_11140	0.897380349007486
PA14_00620	PA14_18140	0.949649789344961
PA14_09230	PA14_18140	0.868840059871109
PA14_09240	PA14_18140	0.859611931531892
PA14_09270	PA14_18140	0.865389334199905
PA14_09280	PA14_18140	0.86026746413475
PA14_09290	PA14_18140	0.869474524537785
PA14_09300	PA14_18140	0.850840657017617
PA14_09340	PA14_18140	0.861439201461627
PA14_09370	PA14_18140	0.854291817027219
PA14_09450	PA14_18140	0.88738764124244
PA14_09500	PA14_18140	0.877816449624287
PA14_00620	PA14_26020	0.86663161133976
PA14_09210	PA14_26020	0.976298316558611
PA14_09220	PA14_26020	0.956433069842284
