gene	condition	mean_expr	mean_z	active_z_ge_1
PA14_00620	stationary.phase	2.3546265798862	0.122487350235248	FALSE
PA14_00650	stationary.phase	2.70941111050381	0.920124789015219	FALSE
PA14_06170	stationary.phase	2.84655405528665	1.62980143675636	TRUE
PA14_06180	stationary.phase	2.86860382364594	1.43489693500017	TRUE
PA14_09210	stationary.phase	3.50774235852265	1.25387914746516	TRUE
PA14_09220	stationary.phase	3.24722910116362	1.32410082342623	TRUE
PA14_09230	stationary.phase	3.3975538195654	1.37262538194374	TRUE
PA14_09240	stationary.phase	3.4595533936452	1.25041020751418	TRUE
PA14_09270	stationary.phase	3.62146454243088	1.05447917606869	TRUE
PA14_09280	stationary.phase	3.68828491139231	1.12773222245044	TRUE
PA14_09290	stationary.phase	3.35378755993268	1.23311796484156	TRUE
PA14_09300	stationary.phase	3.37130743813659	1.24738004620288	TRUE
PA14_09320	stationary.phase	3.41203788950768	1.27788061771815	TRUE
PA14_09340	stationary.phase	3.67106224304779	1.36924958696066	TRUE
PA14_09350	stationary.phase	2.98278300122995	1.53135270956827	TRUE
PA14_09370	stationary.phase	3.15391163481703	1.29014042235403	TRUE
PA14_09380	stationary.phase	3.24821422911826	1.41087225701507	TRUE
PA14_09450	stationary.phase	2.64288261859564	-0.255384438065252	FALSE
PA14_09500	stationary.phase	3.1804773769982	0.739699329945352	FALSE
PA14_09970	stationary.phase	2.77992872110402	1.11976107138329	TRUE
PA14_11140	stationary.phase	3.68684685576755	1.59277683481345	TRUE
PA14_13450	stationary.phase	2.37750801939097	1.08892815296072	TRUE
PA14_16100	stationary.phase	3.19303136769416	1.73975501563264	TRUE
PA14_18140	stationary.phase	2.81131166634459	0.35495352002005	FALSE
PA14_18680	stationary.phase	3.23322610589107	1.47352792717398	TRUE
PA14_19480	stationary.phase	2.7514855628351	1.19835172187661	TRUE
PA14_26020	stationary.phase	3.38559616157	0.517978938086655	FALSE
PA14_28970	stationary.phase	2.41953281872233	0.78581669886982	FALSE
PA14_28980	stationary.phase	2.33218014616306	0.899567001125554	FALSE
PA14_31290	stationary.phase	3.34545302314091	1.24638953097382	TRUE
PA14_31350	stationary.phase	3.57327319981099	1.57579529696764	TRUE
PA14_32720	stationary.phase	2.92933930483528	1.798482988674	TRUE
PA14_33260	stationary.phase	3.00859802988832	1.59122378618616	TRUE
PA14_34870	stationary.phase	3.68373796639267	1.47992811186861	TRUE
PA14_37210	stationary.phase	2.42882450018978	-0.07878140267429	FALSE
PA14_37250	stationary.phase	2.62058412518509	0.340978005052485	FALSE
PA14_37290	stationary.phase	2.23496805527121	-0.0293844575348156	FALSE
PA14_37310	stationary.phase	2.22904990453274	0.0541262600498437	FALSE
PA14_38210	stationary.phase	3.05942202709576	1.71332920028381	TRUE
PA14_38220	stationary.phase	3.20455136778569	1.77441658721434	TRUE
PA14_38260	stationary.phase	3.21938885250247	2.05434834159382	TRUE
PA14_38270	stationary.phase	3.35534365718486	2.18673693479169	TRUE
PA14_39780	stationary.phase	2.68483996412698	0.0509133689804457	FALSE
PA14_39810	stationary.phase	2.72525113678432	1.47298963895508	TRUE
PA14_39880	stationary.phase	2.77759385771676	0.0380600874089874	FALSE
PA14_39890	stationary.phase	2.82402871487368	-0.0599382709814626	FALSE
PA14_39925	stationary.phase	2.61383508400609	-0.255704835029891	FALSE
PA14_39945	stationary.phase	2.86566518792388	0.0362516504853099	FALSE
PA14_40230	stationary.phase	2.98098265205084	0.590282469467028	FALSE
PA14_40240	stationary.phase	2.91787308703243	0.454529081457371	FALSE
PA14_40250	stationary.phase	3.10862385586594	0.792425518486823	FALSE
PA14_40260	stationary.phase	3.53973140487523	0.821847545311259	FALSE
PA14_40290	stationary.phase	3.72964821198409	1.49408512929808	TRUE
PA14_47390	stationary.phase	3.06323986756839	1.79001231585064	TRUE
PA14_47400	stationary.phase	3.04572319051843	1.75875185505134	TRUE
PA14_55580	stationary.phase	2.90282761270138	1.43892550806698	TRUE
PA14_55840	stationary.phase	2.29630308160922	0.182459581876503	FALSE
PA14_55860	stationary.phase	2.62864733741934	0.152818876569377	FALSE
PA14_55880	stationary.phase	2.5781065017986	0.224317823266463	FALSE
PA14_55890	stationary.phase	2.83077729830031	0.323536243575026	FALSE
PA14_55900	stationary.phase	2.73846945165041	0.305886888044188	FALSE
PA14_55920	stationary.phase	2.92774521630563	0.402971068195633	FALSE
PA14_55930	stationary.phase	2.90263480390808	0.552005050454112	FALSE
PA14_55940	stationary.phase	3.46473901341556	0.830520437356994	FALSE
PA14_57990	stationary.phase	3.20345776015497	1.54392741826425	TRUE
PA14_58000	stationary.phase	3.18107020508804	1.52013923021261	TRUE
PA14_58010	stationary.phase	3.10747008217892	1.46860861476309	TRUE
PA14_58030	stationary.phase	3.39194071692804	1.39826972911509	TRUE
PA14_58040	stationary.phase	3.09085872076558	1.35708471852607	TRUE
PA14_60480	stationary.phase	3.31212584931325	1.54394898220279	TRUE
PA14_61910	stationary.phase	2.41860621529296	0.775240179175586	FALSE
PA14_62330	stationary.phase	3.14464035126085	1.45103939791025	TRUE
PA14_64690	stationary.phase	2.63625034174049	1.45138331621452	TRUE
PA14_64700	stationary.phase	2.78903308351247	1.38326519421383	TRUE
PA14_06650	stationary.phase	2.22814070609065	-0.997167606909956	FALSE
PA14_06660	stationary.phase	1.93403428880284	-0.934859353460338	FALSE
PA14_06670	stationary.phase	2.25840686740367	-0.870904877505524	FALSE
PA14_06680	stationary.phase	1.88265276292392	-1.2452627627032	FALSE
PA14_06690	stationary.phase	1.76313853326864	-1.24728326839676	FALSE
PA14_06700	stationary.phase	1.88265276292392	-0.934675808271187	FALSE
PA14_06710	stationary.phase	2.02216455033258	-0.699831151241114	FALSE
PA14_06720	stationary.phase	2.03322982495166	-1.23755992066947	FALSE
PA14_06730	stationary.phase	2.1213600864814	-0.537111998938031	FALSE
PA14_06740	stationary.phase	2.02216455033258	-0.938304096695118	FALSE
PA14_06750	stationary.phase	2.45603293938182	-1.03103899902552	FALSE
PA14_06790	stationary.phase	2.13661010806344	-0.351929936929974	FALSE
PA14_06800	stationary.phase	1.61648725372432	-1.01147024972598	FALSE
PA14_06810	stationary.phase	1.97017201179201	-0.738601824938977	FALSE
PA14_06830	stationary.phase	2.32291570794443	-0.808922885368614	FALSE
PA14_06840	stationary.phase	2.00845949218975	-0.784024077374627	FALSE
PA14_06860	stationary.phase	1.88265276292392	-0.688716799479916	FALSE
PA14_13250	stationary.phase	2.41575473825344	0.0887788605243861	FALSE
PA14_13280	stationary.phase	2.04195261661202	-0.439777195677899	FALSE
PA14_13290	stationary.phase	1.99858526257786	-0.916746993689194	FALSE
PA14_13300	stationary.phase	2.03322982495166	-0.945319991061645	FALSE
PA14_13320	stationary.phase	1.93403428880284	-0.55424337081007	FALSE
PA14_13750	stationary.phase	2.10346797370188	-0.585301886125631	FALSE
PA14_13770	stationary.phase	1.73600148337961	-1.42283835207237	FALSE
PA14_13780	stationary.phase	2.20282914848388	-1.10580063768062	FALSE
PA14_13800	stationary.phase	2.28334447673639	-0.883194200060155	FALSE
PA14_13810	stationary.phase	1.81452005914756	-0.99140914309567	FALSE
PA14_13830	stationary.phase	1.92602011695807	-0.868037287080119	FALSE
PA14_13840	stationary.phase	1.76313853326864	-1.08184956565301	FALSE
PA14_13850	stationary.phase	2.04459721517892	-0.331919763418947	FALSE
PA14_20150	stationary.phase	2.0758838610232	0.267293653760224	FALSE
PA14_20170	stationary.phase	1.81452005914756	-0.43491920483057	FALSE
PA14_20180	stationary.phase	1.88265276292392	-0.423538461235165	FALSE
PA14_20190	stationary.phase	2.16238105159168	-0.543744471892976	FALSE
PA14_20200	stationary.phase	1.92602011695807	-1.14908910968426	FALSE
PA14_20230	stationary.phase	1.85065778213673	-1.02372810708659	FALSE
PA14_26340	stationary.phase	1.85065778213673	0.233664806025399	FALSE
PA14_47640	stationary.phase	2.18040563246626	-0.0472826828389926	FALSE
PA14_03410	stationary.phase	2.90621374064157	0.311060753741899	FALSE
PA14_07980	stationary.phase	2.91770413478942	0.366920424263287	FALSE
PA14_07990	stationary.phase	2.96922499134844	0.889656654902352	FALSE
PA14_08000	stationary.phase	2.88168573479582	0.597050893804619	FALSE
PA14_08020	stationary.phase	2.95319649095728	0.920907781401433	FALSE
PA14_08030	stationary.phase	3.1044585118019	0.623809251472368	FALSE
PA14_08040	stationary.phase	3.02488515129306	0.75994551941167	FALSE
PA14_08060	stationary.phase	3.23682856680144	0.978175785647971	FALSE
PA14_08070	stationary.phase	3.39852289904923	0.884053485262385	FALSE
PA14_08090	stationary.phase	3.31362055921903	0.982234149581824	FALSE
PA14_08100	stationary.phase	3.06703992535974	0.836322179374231	FALSE
PA14_08120	stationary.phase	3.33254691535771	0.986519486423089	FALSE
PA14_08130	stationary.phase	2.99084686406298	0.720270435950172	FALSE
PA14_08140	stationary.phase	2.78934338202544	0.527318910261709	FALSE
PA14_08150	stationary.phase	3.04919006418459	0.786433755608996	FALSE
PA14_08160	stationary.phase	2.67489211898081	0.625733861744867	FALSE
PA14_08200	stationary.phase	3.22784148250051	0.605294174225882	FALSE
PA14_08210	stationary.phase	3.45849887502175	1.01438517585503	TRUE
PA14_08220	stationary.phase	3.12695974391504	0.895335019680609	FALSE
PA14_08230	stationary.phase	3.11931822918814	0.957686485223368	FALSE
PA14_08240	stationary.phase	3.34548977680589	0.784990283734965	FALSE
PA14_08250	stationary.phase	2.89017142017655	0.739539310486803	FALSE
PA14_08260	stationary.phase	2.88714849747906	0.655304388942899	FALSE
PA14_08270	stationary.phase	2.9538053454967	0.72806937611263	FALSE
PA14_08280	stationary.phase	2.93966888171321	0.76973304836292	FALSE
PA14_08300	stationary.phase	3.29378057612903	0.75906941540979	FALSE
PA14_16140	stationary.phase	2.88143834423668	0.141109912342264	FALSE
PA14_16150	stationary.phase	2.93110111422656	0.484134993854199	FALSE
PA14_16800	stationary.phase	2.71515837347845	-0.0337606472891508	FALSE
PA14_20500	stationary.phase	3.21782808547587	0.762043512653154	FALSE
PA14_27190	stationary.phase	3.15755466793371	0.310659455128251	FALSE
PA14_29620	stationary.phase	2.50562357513524	-0.110163831022403	FALSE
PA14_30420	stationary.phase	2.6878856979396	0.2433343517953	FALSE
PA14_30720	stationary.phase	2.95797020696507	-0.325208621908633	FALSE
PA14_40370	stationary.phase	2.84873634367561	0.622088975231802	FALSE
PA14_51230	stationary.phase	2.6769720823002	-0.028485201462497	FALSE
PA14_52560	stationary.phase	3.24092801243548	0.323104045492783	FALSE
PA14_53820	stationary.phase	2.9815318739699	0.41807620174318	FALSE
PA14_63010	stationary.phase	2.75764530576435	-0.114687471448028	FALSE
