gene	degree	betweenness	closeness	clustering_coeff	module	component
PA14_00620	162	0	1	1	1	1
PA14_00650	162	0	1	1	1	1
PA14_06170	162	0	1	1	1	1
PA14_06180	162	0	1	1	1	1
PA14_09210	162	0	1	1	1	1
PA14_09220	162	0	1	1	1	1
PA14_09230	162	0	1	1	1	1
PA14_09240	162	0	1	1	1	1
PA14_09270	162	0	1	1	1	1
PA14_09280	162	0	1	1	1	1
PA14_09290	162	0	1	1	1	1
PA14_09300	162	0	1	1	1	1
PA14_09320	162	0	1	1	1	1
PA14_09340	162	0	1	1	1	1
PA14_09350	162	0	1	1	1	1
PA14_09380	162	0	1	1	1	1
PA14_09500	162	0	1	1	1	1
PA14_09970	162	0	1	1	1	1
PA14_11140	162	0	1	1	1	1
PA14_13450	162	0	1	1	1	1
PA14_16100	162	0	1	1	1	1
PA14_18140	162	0	1	1	1	1
PA14_18680	162	0	1	1	1	1
PA14_19480	162	0	1	1	1	1
PA14_26020	162	0	1	1	1	1
PA14_28970	162	0	1	1	1	1
PA14_28980	162	0	1	1	1	1
PA14_31290	162	0	1	1	1	1
PA14_31350	162	0	1	1	1	1
PA14_32720	162	0	1	1	1	1
PA14_33260	162	0	1	1	1	1
PA14_34870	162	0	1	1	1	1
PA14_37210	162	0	1	1	1	1
PA14_38210	162	0	1	1	1	1
PA14_38220	162	0	1	1	1	1
PA14_38260	162	0	1	1	1	1
PA14_38270	162	0	1	1	1	1
PA14_39780	162	0	1	1	1	1
PA14_39810	162	0	1	1	1	1
PA14_39880	162	0	1	1	1	1
PA14_39945	162	0	1	1	1	1
PA14_40230	162	0	1	1	1	1
PA14_40240	162	0	1	1	1	1
PA14_40250	162	0	1	1	1	1
PA14_40260	162	0	1	1	1	1
PA14_40290	162	0	1	1	1	1
PA14_47390	162	0	1	1	1	1
PA14_47400	162	0	1	1	1	1
PA14_55580	162	0	1	1	1	1
PA14_55860	162	0	1	1	1	1
PA14_55880	162	0	1	1	1	1
PA14_55900	162	0	1	1	1	1
PA14_55930	162	0	1	1	1	1
PA14_55940	162	0	1	1	1	1
PA14_57990	162	0	1	1	1	1
PA14_58000	162	0	1	1	1	1
PA14_58010	162	0	1	1	1	1
PA14_58030	162	0	1	1	1	1
PA14_58040	162	0	1	1	1	1
PA14_60480	162	0	1	1	1	1
PA14_62330	162	0	1	1	1	1
PA14_64690	162	0	1	1	1	1
PA14_64700	162	0	1	1	1	1
PA14_06650	162	0	1	1	1	1
PA14_06660	162	0	1	1	1	1
PA14_06670	162	0	1	1	1	1
PA14_06680	162	0	1	1	1	1
PA14_06690	162	0	1	1	1	1
PA14_06700	162	0	1	1	1	1
PA14_06710	162	0	1	1	1	1
PA14_06720	162	0	1	1	1	1
PA14_06730	162	0	1	1	1	1
PA14_06740	162	0	1	1	1	1
PA14_06750	162	0	1	1	1	1
PA14_06790	162	0	1	1	1	1
PA14_06800	162	0	1	1	1	1
PA14_06810	162	0	1	1	1	1
PA14_06830	162	0	1	1	1	1
PA14_06840	162	0	1	1	1	1
PA14_06860	162	0	1	1	1	1
PA14_13250	162	0	1	1	1	1
PA14_13280	162	0	1	1	1	1
