source	target	corr
PA14_00620	PA14_00650	-1
PA14_00620	PA14_06170	1
PA14_00650	PA14_06170	-1
PA14_00620	PA14_06180	1
PA14_00650	PA14_06180	-1
PA14_06170	PA14_06180	1
PA14_00620	PA14_09210	-1
PA14_00650	PA14_09210	1
PA14_06170	PA14_09210	-1
PA14_06180	PA14_09210	-1
PA14_00620	PA14_09220	1
PA14_00650	PA14_09220	-1
PA14_06170	PA14_09220	1
PA14_06180	PA14_09220	1
PA14_09210	PA14_09220	-1
PA14_00620	PA14_09230	1
PA14_00650	PA14_09230	-1
PA14_06170	PA14_09230	1
PA14_06180	PA14_09230	1
PA14_09210	PA14_09230	-1
PA14_09220	PA14_09230	1
PA14_00620	PA14_09240	-1
PA14_00650	PA14_09240	1
PA14_06170	PA14_09240	-1
PA14_06180	PA14_09240	-1
PA14_09210	PA14_09240	1
PA14_09220	PA14_09240	-1
PA14_09230	PA14_09240	-1
PA14_00620	PA14_09270	1
PA14_00650	PA14_09270	-1
PA14_06170	PA14_09270	1
PA14_06180	PA14_09270	1
PA14_09210	PA14_09270	-1
PA14_09220	PA14_09270	1
PA14_09230	PA14_09270	1
PA14_09240	PA14_09270	-1
PA14_00620	PA14_09280	-1
PA14_00650	PA14_09280	1
PA14_06170	PA14_09280	-1
PA14_06180	PA14_09280	-1
PA14_09210	PA14_09280	1
PA14_09220	PA14_09280	-1
PA14_09230	PA14_09280	-1
PA14_09240	PA14_09280	1
PA14_09270	PA14_09280	-1
PA14_00620	PA14_09290	-1
PA14_00650	PA14_09290	1
PA14_06170	PA14_09290	-1
PA14_06180	PA14_09290	-1
PA14_09210	PA14_09290	1
PA14_09220	PA14_09290	-1
PA14_09230	PA14_09290	-1
PA14_09240	PA14_09290	1
PA14_09270	PA14_09290	-1
PA14_09280	PA14_09290	1
PA14_00620	PA14_09300	-1
PA14_00650	PA14_09300	1
PA14_06170	PA14_09300	-1
PA14_06180	PA14_09300	-1
PA14_09210	PA14_09300	1
PA14_09220	PA14_09300	-1
PA14_09230	PA14_09300	-1
PA14_09240	PA14_09300	1
PA14_09270	PA14_09300	-1
PA14_09280	PA14_09300	1
PA14_09290	PA14_09300	1
PA14_00620	PA14_09320	-1
PA14_00650	PA14_09320	1
PA14_06170	PA14_09320	-1
PA14_06180	PA14_09320	-1
PA14_09210	PA14_09320	1
PA14_09220	PA14_09320	-1
PA14_09230	PA14_09320	-1
PA14_09240	PA14_09320	1
PA14_09270	PA14_09320	-1
PA14_09280	PA14_09320	1
PA14_09290	PA14_09320	1
PA14_09300	PA14_09320	1
PA14_00620	PA14_09340	-1
PA14_00650	PA14_09340	1
PA14_06170	PA14_09340	-1
PA14_06180	PA14_09340	-1
PA14_09210	PA14_09340	1
PA14_09220	PA14_09340	-1
PA14_09230	PA14_09340	-1
PA14_09240	PA14_09340	1
PA14_09270	PA14_09340	-1
PA14_09280	PA14_09340	1
PA14_09290	PA14_09340	1
PA14_09300	PA14_09340	1
PA14_09320	PA14_09340	1
PA14_00620	PA14_09350	-1
PA14_00650	PA14_09350	1
PA14_06170	PA14_09350	-1
PA14_06180	PA14_09350	-1
PA14_09210	PA14_09350	1
PA14_09220	PA14_09350	-1
PA14_09230	PA14_09350	-1
PA14_09240	PA14_09350	1
PA14_09270	PA14_09350	-1
PA14_09280	PA14_09350	1
PA14_09290	PA14_09350	1
PA14_09300	PA14_09350	1
PA14_09320	PA14_09350	1
PA14_09340	PA14_09350	1
PA14_00620	PA14_09370	-1
PA14_00650	PA14_09370	1
PA14_06170	PA14_09370	-1
PA14_06180	PA14_09370	-1
PA14_09210	PA14_09370	1
PA14_09220	PA14_09370	-1
PA14_09230	PA14_09370	-1
PA14_09240	PA14_09370	1
PA14_09270	PA14_09370	-1
PA14_09280	PA14_09370	1
PA14_09290	PA14_09370	1
PA14_09300	PA14_09370	1
PA14_09320	PA14_09370	1
PA14_09340	PA14_09370	1
PA14_09350	PA14_09370	1
PA14_00620	PA14_09380	-1
PA14_00650	PA14_09380	1
PA14_06170	PA14_09380	-1
PA14_06180	PA14_09380	-1
PA14_09210	PA14_09380	1
PA14_09220	PA14_09380	-1
PA14_09230	PA14_09380	-1
PA14_09240	PA14_09380	1
PA14_09270	PA14_09380	-1
PA14_09280	PA14_09380	1
PA14_09290	PA14_09380	1
PA14_09300	PA14_09380	1
PA14_09320	PA14_09380	1
PA14_09340	PA14_09380	1
PA14_09350	PA14_09380	1
PA14_09370	PA14_09380	1
PA14_00620	PA14_09450	-1
PA14_00650	PA14_09450	1
PA14_06170	PA14_09450	-1
PA14_06180	PA14_09450	-1
PA14_09210	PA14_09450	1
PA14_09220	PA14_09450	-1
PA14_09230	PA14_09450	-1
PA14_09240	PA14_09450	1
PA14_09270	PA14_09450	-1
PA14_09280	PA14_09450	1
PA14_09290	PA14_09450	1
PA14_09300	PA14_09450	1
PA14_09320	PA14_09450	1
PA14_09340	PA14_09450	1
PA14_09350	PA14_09450	1
PA14_09370	PA14_09450	1
PA14_09380	PA14_09450	1
PA14_00620	PA14_09500	-1
PA14_00650	PA14_09500	1
PA14_06170	PA14_09500	-1
PA14_06180	PA14_09500	-1
PA14_09210	PA14_09500	1
PA14_09220	PA14_09500	-1
PA14_09230	PA14_09500	-1
PA14_09240	PA14_09500	1
PA14_09270	PA14_09500	-1
PA14_09280	PA14_09500	1
PA14_09290	PA14_09500	1
PA14_09300	PA14_09500	1
PA14_09320	PA14_09500	1
PA14_09340	PA14_09500	1
PA14_09350	PA14_09500	1
PA14_09370	PA14_09500	1
PA14_09380	PA14_09500	1
PA14_09450	PA14_09500	1
PA14_00620	PA14_09970	1
PA14_00650	PA14_09970	-1
PA14_06170	PA14_09970	1
PA14_06180	PA14_09970	1
PA14_09210	PA14_09970	-1
PA14_09220	PA14_09970	1
PA14_09230	PA14_09970	1
PA14_09240	PA14_09970	-1
PA14_09270	PA14_09970	1
PA14_09280	PA14_09970	-1
PA14_09290	PA14_09970	-1
PA14_09300	PA14_09970	-1
PA14_09320	PA14_09970	-1
PA14_09340	PA14_09970	-1
PA14_09350	PA14_09970	-1
PA14_09370	PA14_09970	-1
PA14_09380	PA14_09970	-1
PA14_09450	PA14_09970	-1
PA14_09500	PA14_09970	-1
PA14_00620	PA14_11140	1
PA14_00650	PA14_11140	-1
PA14_06170	PA14_11140	1
PA14_06180	PA14_11140	1
PA14_09210	PA14_11140	-1
PA14_09220	PA14_11140	1
PA14_09230	PA14_11140	1
PA14_09240	PA14_11140	-1
PA14_09270	PA14_11140	1
PA14_09280	PA14_11140	-1
PA14_09290	PA14_11140	-1
PA14_09300	PA14_11140	-1
PA14_09320	PA14_11140	-1
PA14_09340	PA14_11140	-1
PA14_09350	PA14_11140	-1
PA14_09370	PA14_11140	-1
PA14_09380	PA14_11140	-1
PA14_09450	PA14_11140	-1
PA14_09500	PA14_11140	-1
PA14_09970	PA14_11140	1
PA14_00620	PA14_13450	-1
PA14_00650	PA14_13450	1
PA14_06170	PA14_13450	-1
PA14_06180	PA14_13450	-1
PA14_09210	PA14_13450	1
PA14_09220	PA14_13450	-1
PA14_09230	PA14_13450	-1
PA14_09240	PA14_13450	1
PA14_09270	PA14_13450	-1
PA14_09280	PA14_13450	1
PA14_09290	PA14_13450	1
PA14_09300	PA14_13450	1
PA14_09320	PA14_13450	1
PA14_09340	PA14_13450	1
PA14_09350	PA14_13450	1
PA14_09370	PA14_13450	1
PA14_09380	PA14_13450	1
PA14_09450	PA14_13450	1
PA14_09500	PA14_13450	1
PA14_09970	PA14_13450	-1
PA14_11140	PA14_13450	-1
PA14_00620	PA14_16100	1
PA14_00650	PA14_16100	-1
PA14_06170	PA14_16100	1
PA14_06180	PA14_16100	1
PA14_09210	PA14_16100	-1
PA14_09220	PA14_16100	1
PA14_09230	PA14_16100	1
PA14_09240	PA14_16100	-1
PA14_09270	PA14_16100	1
PA14_09280	PA14_16100	-1
PA14_09290	PA14_16100	-1
PA14_09300	PA14_16100	-1
PA14_09320	PA14_16100	-1
PA14_09340	PA14_16100	-1
PA14_09350	PA14_16100	-1
PA14_09370	PA14_16100	-1
PA14_09380	PA14_16100	-1
PA14_09450	PA14_16100	-1
PA14_09500	PA14_16100	-1
PA14_09970	PA14_16100	1
PA14_11140	PA14_16100	1
PA14_13450	PA14_16100	-1
PA14_00620	PA14_18140	1
PA14_00650	PA14_18140	-1
PA14_06170	PA14_18140	1
PA14_06180	PA14_18140	1
PA14_09210	PA14_18140	-1
PA14_09220	PA14_18140	1
PA14_09230	PA14_18140	1
PA14_09240	PA14_18140	-1
PA14_09270	PA14_18140	1
PA14_09280	PA14_18140	-1
PA14_09290	PA14_18140	-1
PA14_09300	PA14_18140	-1
PA14_09320	PA14_18140	-1
PA14_09340	PA14_18140	-1
PA14_09350	PA14_18140	-1
PA14_09370	PA14_18140	-1
PA14_09380	PA14_18140	-1
PA14_09450	PA14_18140	-1
PA14_09500	PA14_18140	-1
PA14_09970	PA14_18140	1
PA14_11140	PA14_18140	1
PA14_13450	PA14_18140	-1
PA14_16100	PA14_18140	1
PA14_00620	PA14_18680	-1
PA14_00650	PA14_18680	1
PA14_06170	PA14_18680	-1
PA14_06180	PA14_18680	-1
PA14_09210	PA14_18680	1
