gene	degree	betweenness	closeness	clustering_coeff	module	component
PA14_00620	172	0	1	1	1	1
PA14_00650	172	0	1	1	1	1
PA14_06170	172	0	1	1	1	1
PA14_06180	172	0	1	1	1	1
PA14_09210	172	0	1	1	1	1
PA14_09220	172	0	1	1	1	1
PA14_09230	172	0	1	1	1	1
PA14_09240	172	0	1	1	1	1
PA14_09270	172	0	1	1	1	1
PA14_09280	172	0	1	1	1	1
PA14_09290	172	0	1	1	1	1
PA14_09300	172	0	1	1	1	1
PA14_09320	172	0	1	1	1	1
PA14_09340	172	0	1	1	1	1
PA14_09350	172	0	1	1	1	1
PA14_09370	172	0	1	1	1	1
PA14_09380	172	0	1	1	1	1
PA14_09450	172	0	1	1	1	1
PA14_09500	172	0	1	1	1	1
PA14_09970	172	0	1	1	1	1
PA14_11140	172	0	1	1	1	1
PA14_13450	172	0	1	1	1	1
PA14_16100	172	0	1	1	1	1
PA14_18140	172	0	1	1	1	1
PA14_18680	172	0	1	1	1	1
PA14_19480	172	0	1	1	1	1
PA14_26020	172	0	1	1	1	1
PA14_28970	172	0	1	1	1	1
PA14_28980	172	0	1	1	1	1
PA14_31290	172	0	1	1	1	1
PA14_31350	172	0	1	1	1	1
PA14_32720	172	0	1	1	1	1
PA14_33260	172	0	1	1	1	1
PA14_34870	172	0	1	1	1	1
PA14_37210	172	0	1	1	1	1
PA14_37250	172	0	1	1	1	1
PA14_37290	172	0	1	1	1	1
PA14_37310	172	0	1	1	1	1
PA14_38210	172	0	1	1	1	1
PA14_38220	172	0	1	1	1	1
PA14_38260	172	0	1	1	1	1
PA14_38270	172	0	1	1	1	1
PA14_39780	172	0	1	1	1	1
PA14_39810	172	0	1	1	1	1
PA14_39880	172	0	1	1	1	1
PA14_39890	172	0	1	1	1	1
PA14_39925	172	0	1	1	1	1
PA14_39945	172	0	1	1	1	1
PA14_40230	172	0	1	1	1	1
PA14_40240	172	0	1	1	1	1
PA14_40250	172	0	1	1	1	1
PA14_40260	172	0	1	1	1	1
PA14_40290	172	0	1	1	1	1
PA14_47390	172	0	1	1	1	1
PA14_47400	172	0	1	1	1	1
PA14_55580	172	0	1	1	1	1
PA14_55840	172	0	1	1	1	1
PA14_55860	172	0	1	1	1	1
PA14_55880	172	0	1	1	1	1
PA14_55890	172	0	1	1	1	1
PA14_55900	172	0	1	1	1	1
PA14_55920	172	0	1	1	1	1
PA14_55930	172	0	1	1	1	1
PA14_55940	172	0	1	1	1	1
PA14_57990	172	0	1	1	1	1
PA14_58000	172	0	1	1	1	1
PA14_58010	172	0	1	1	1	1
PA14_58030	172	0	1	1	1	1
PA14_58040	172	0	1	1	1	1
PA14_60480	172	0	1	1	1	1
PA14_61910	172	0	1	1	1	1
PA14_62330	172	0	1	1	1	1
PA14_64690	172	0	1	1	1	1
PA14_64700	172	0	1	1	1	1
PA14_06650	172	0	1	1	1	1
PA14_06660	172	0	1	1	1	1
PA14_06670	172	0	1	1	1	1
PA14_06680	172	0	1	1	1	1
PA14_06690	172	0	1	1	1	1
PA14_06710	172	0	1	1	1	1
PA14_06720	172	0	1	1	1	1
PA14_06730	172	0	1	1	1	1
PA14_06740	172	0	1	1	1	1
PA14_06750	172	0	1	1	1	1
PA14_06790	172	0	1	1	1	1
PA14_06800	172	0	1	1	1	1
PA14_06810	172	0	1	1	1	1
PA14_06830	172	0	1	1	1	1
PA14_06840	172	0	1	1	1	1
PA14_06860	172	0	1	1	1	1
PA14_13250	172	0	1	1	1	1
PA14_13280	172	0	1	1	1	1
PA14_13290	172	0	1	1	1	1
PA14_13300	172	0	1	1	1	1
PA14_13320	172	0	1	1	1	1
PA14_13750	172	0	1	1	1	1
PA14_13770	172	0	1	1	1	1
PA14_13780	172	0	1	1	1	1
PA14_13800	172	0	1	1	1	1
PA14_13810	172	0	1	1	1	1
PA14_13830	172	0	1	1	1	1
PA14_13850	172	0	1	1	1	1
PA14_20150	172	0	1	1	1	1
PA14_20180	172	0	1	1	1	1
PA14_20190	172	0	1	1	1	1
PA14_20200	172	0	1	1	1	1
PA14_20230	172	0	1	1	1	1
PA14_26340	172	0	1	1	1	1
PA14_47640	172	0	1	1	1	1
PA14_03410	172	0	1	1	1	1
PA14_07980	172	0	1	1	1	1
PA14_07990	172	0	1	1	1	1
PA14_08000	172	0	1	1	1	1
PA14_08020	172	0	1	1	1	1
PA14_08030	172	0	1	1	1	1
PA14_08040	172	0	1	1	1	1
PA14_08060	172	0	1	1	1	1
PA14_08070	172	0	1	1	1	1
PA14_08090	172	0	1	1	1	1
PA14_08100	172	0	1	1	1	1
PA14_08120	172	0	1	1	1	1
PA14_08130	172	0	1	1	1	1
PA14_08140	172	0	1	1	1	1
PA14_08150	172	0	1	1	1	1
PA14_08160	172	0	1	1	1	1
PA14_08200	172	0	1	1	1	1
PA14_08210	172	0	1	1	1	1
PA14_08220	172	0	1	1	1	1
PA14_08230	172	0	1	1	1	1
PA14_08240	172	0	1	1	1	1
PA14_08250	172	0	1	1	1	1
PA14_08260	172	0	1	1	1	1
PA14_08270	172	0	1	1	1	1
PA14_08280	172	0	1	1	1	1
PA14_08300	172	0	1	1	1	1
PA14_16140	172	0	1	1	1	1
PA14_16150	172	0	1	1	1	1
PA14_16800	172	0	1	1	1	1
PA14_20500	172	0	1	1	1	1
PA14_27190	172	0	1	1	1	1
PA14_29620	172	0	1	1	1	1
PA14_30420	172	0	1	1	1	1
PA14_30720	172	0	1	1	1	1
PA14_40370	172	0	1	1	1	1
PA14_51230	172	0	1	1	1	1
PA14_52560	172	0	1	1	1	1
PA14_53820	172	0	1	1	1	1
PA14_63010	172	0	1	1	1	1
PA14_63460	172	0	1	1	1	1
PA14_71900	172	0	1	1	1	1
PA14_21580	172	0	1	1	1	1
PA14_17700	172	0	1	1	1	1
PA14_51940	172	0	1	1	1	1
PA14_64290	172	0	1	1	1	1
PA14_18380	172	0	1	1	1	1
PA14_67820	172	0	1	1	1	1
PA14_32490	172	0	1	1	1	1
PA14_23610	172	0	1	1	1	1
PA14_42600	172	0	1	1	1	1
PA14_73020	172	0	1	1	1	1
PA14_37900	172	0	1	1	1	1
PA14_39710	172	0	1	1	1	1
PA14_45000	172	0	1	1	1	1
PA14_23680	172	0	1	1	1	1
PA14_29600	172	0	1	1	1	1
PA14_63960	172	0	1	1	1	1
PA14_17710	172	0	1	1	1	1
PA14_18520	172	0	1	1	1	1
PA14_01300	172	0	1	1	1	1
PA14_46620	172	0	1	1	1	1
PA14_48840	172	0	1	1	1	1
PA14_18550	172	0	1	1	1	1
PA14_49500	172	0	1	1	1	1
