source	target	corr
PA14_00620	PA14_00650	0.882310908137498
PA14_06170	PA14_09220	0.819150341532177
PA14_09210	PA14_09220	0.986992623939382
PA14_09210	PA14_09230	0.949133098009667
PA14_09220	PA14_09230	0.958347968035308
PA14_06170	PA14_09240	0.82786480179646
PA14_09210	PA14_09240	0.914628605435773
PA14_09220	PA14_09240	0.946721003894564
PA14_09230	PA14_09240	0.886490761584836
PA14_06170	PA14_09270	0.844374025866397
PA14_09210	PA14_09270	0.967423324252784
PA14_09220	PA14_09270	0.978045819059475
PA14_09230	PA14_09270	0.927930313379943
PA14_09240	PA14_09270	0.878499037984513
PA14_09290	PA14_09300	0.898746519096449
PA14_09300	PA14_09320	0.9295809486777
PA14_06170	PA14_09340	0.863418333618946
PA14_09210	PA14_09340	0.975782287970537
PA14_09220	PA14_09340	0.988410764968832
PA14_09230	PA14_09340	0.93395578366259
PA14_09240	PA14_09340	0.938919270591565
PA14_09270	PA14_09340	0.979233565647528
PA14_09210	PA14_09350	0.966717315495717
PA14_09220	PA14_09350	0.942034741489218
PA14_09230	PA14_09350	0.925003667908448
PA14_09240	PA14_09350	0.817991024528342
PA14_09270	PA14_09350	0.962841145534752
PA14_09340	PA14_09350	0.926875098225302
PA14_09210	PA14_09370	0.944530384365588
PA14_09220	PA14_09370	0.9332234424566
PA14_09230	PA14_09370	0.922338664748211
PA14_09270	PA14_09370	0.975620335017963
PA14_09280	PA14_09370	0.857966983033031
PA14_09340	PA14_09370	0.931362427016694
PA14_09350	PA14_09370	0.980646869802536
PA14_09210	PA14_09380	0.945006048446235
PA14_09220	PA14_09380	0.914764797316423
PA14_09230	PA14_09380	0.937474427830558
PA14_09270	PA14_09380	0.917078703006908
PA14_09280	PA14_09380	0.917317657442087
PA14_09340	PA14_09380	0.898365168033796
PA14_09350	PA14_09380	0.950496314719611
PA14_09370	PA14_09380	0.957761422318488
PA14_09210	PA14_09970	0.914155828726383
PA14_09220	PA14_09970	0.893004839274356
PA14_09230	PA14_09970	0.919527466512094
PA14_09270	PA14_09970	0.889937112391723
PA14_09280	PA14_09970	0.898983842808356
PA14_09340	PA14_09970	0.901407817694549
PA14_09350	PA14_09970	0.883328857076051
PA14_09370	PA14_09970	0.918795823732357
PA14_09380	PA14_09970	0.969919155835118
PA14_06170	PA14_11140	0.894213261342244
PA14_06170	PA14_13450	0.905019029126297
PA14_09210	PA14_13450	0.845739610730882
PA14_09220	PA14_13450	0.848568110482204
PA14_09270	PA14_13450	0.898146389932447
PA14_09320	PA14_13450	0.833753272183838
PA14_09340	PA14_13450	0.911735034189698
PA14_09350	PA14_13450	0.839648110630372
PA14_09370	PA14_13450	0.864967984973894
PA14_00620	PA14_16100	0.815033787688425
PA14_00650	PA14_16100	0.894679581200625
PA14_06180	PA14_16100	0.823923328237412
PA14_06170	PA14_28980	0.849305044202982
PA14_28970	PA14_28980	0.845971909711121
PA14_19480	PA14_31290	0.853786703591225
PA14_06180	PA14_31350	0.899822614289757
PA14_00620	PA14_32720	0.817530177867456
PA14_00650	PA14_32720	0.912071053040048
PA14_06170	PA14_32720	0.842877243447734
PA14_13450	PA14_32720	0.856017863823714
PA14_16100	PA14_32720	0.888339578874072
PA14_26020	PA14_32720	0.841720297925858
PA14_06170	PA14_33260	0.900618878218226
PA14_09210	PA14_33260	0.840590938154518
PA14_09220	PA14_33260	0.852788734184378
PA14_09270	PA14_33260	0.929397696430155
