gene	degree	betweenness	closeness	clustering_coeff	module	component
PA14_00620	5	0.00723082649150905	0.246875	0.7	1	1
PA14_06170	24	0.0142760975321015	0.32712215320911	0.518115942028985	1	1
PA14_09210	23	0.00290716115179302	0.316633266533066	0.794466403162055	2	1
PA14_09220	30	0.0328384008577202	0.329853862212944	0.595402298850575	2	1
PA14_09230	16	0.00042907024327063	0.299242424242424	0.916666666666667	2	1
PA14_09240	18	0.00464949049731848	0.296992481203008	0.594771241830065	2	1
PA14_09290	4	0.0337641285643755	0.20360824742268	0.166666666666667	3	1
PA14_09300	2	0.040625365153873	0.239031770045386	0	3	1
PA14_09270	30	0.0241494047931991	0.34051724137931	0.595402298850575	2	1
PA14_09340	29	0.0268448237977979	0.326446280991736	0.630541871921182	2	1
PA14_09280	6	0.0105666078916118	0.278659611992945	0.8	2	1
PA14_09350	23	0.00957435701816399	0.326446280991736	0.778656126482213	2	1
PA14_09370	24	0.0164693921688845	0.329853862212944	0.721014492753623	2	1
PA14_09380	17	0.0611672905060217	0.305019305019305	0.808823529411765	2	1
PA14_09320	7	0.0513942537966332	0.300952380952381	0.523809523809524	2	1
PA14_00650	5	0.00723082649150905	0.246875	0.7	1	1
PA14_06180	8	0.0534185460897802	0.27008547008547	0.178571428571429	1	1
PA14_28970	4	0.0119088072004471	0.226037195994278	0.166666666666667	1	1
PA14_19480	3	0.00709221872122842	0.231671554252199	0.333333333333333	4	1
PA14_13450	29	0.0206893859707532	0.336886993603412	0.564039408866995	2	1
PA14_16100	6	0.00696863216686633	0.257748776508972	0.533333333333333	1	1
PA14_26020	4	0.00144027112785805	0.256910569105691	0.333333333333333	1	1
PA14_32720	17	0.0434194818718763	0.305019305019305	0.375	1	1
PA14_11140	15	0.0312056558030397	0.317907444668008	0.352380952380952	1	1
PA14_37250	8	0.0181610470275067	0.172677595628415	0.571428571428571	5	1
PA14_18140	3	0.0217144380067375	0.233727810650888	0	6	1
PA14_09970	18	0.0846510507102934	0.31041257367387	0.803921568627451	2	1
PA14_33260	32	0.0458548694108475	0.351893095768374	0.518145161290323	2	1
PA14_37210	14	0.00220084571392012	0.294776119402985	0.78021978021978	2	1
PA14_38210	23	0.00442871612259418	0.316633266533066	0.786561264822134	2	1
PA14_38260	5	0.0121894409937888	0.251993620414673	0.6	1	1
PA14_09450	10	0.0330835914379683	0.316	0.6	6	1
PA14_31290	11	0.0282164962079027	0.287272727272727	0.6	4	1
