gene	degree	betweenness	closeness	clustering_coeff	module	component
PA14_00620	173	0	1	1	1	1
PA14_00650	173	0	1	1	1	1
PA14_06170	173	0	1	1	1	1
PA14_06180	173	0	1	1	1	1
PA14_09210	173	0	1	1	1	1
PA14_09220	173	0	1	1	1	1
PA14_09230	173	0	1	1	1	1
PA14_09240	173	0	1	1	1	1
PA14_09270	173	0	1	1	1	1
PA14_09280	173	0	1	1	1	1
PA14_09290	173	0	1	1	1	1
PA14_09300	173	0	1	1	1	1
PA14_09320	173	0	1	1	1	1
PA14_09340	173	0	1	1	1	1
PA14_09350	173	0	1	1	1	1
PA14_09370	173	0	1	1	1	1
PA14_09380	173	0	1	1	1	1
PA14_09450	173	0	1	1	1	1
PA14_09500	173	0	1	1	1	1
PA14_09970	173	0	1	1	1	1
PA14_11140	173	0	1	1	1	1
PA14_13450	173	0	1	1	1	1
PA14_16100	173	0	1	1	1	1
PA14_18140	173	0	1	1	1	1
PA14_18680	173	0	1	1	1	1
PA14_19480	173	0	1	1	1	1
PA14_26020	173	0	1	1	1	1
PA14_28970	173	0	1	1	1	1
PA14_28980	173	0	1	1	1	1
PA14_31290	173	0	1	1	1	1
PA14_31350	173	0	1	1	1	1
PA14_32720	173	0	1	1	1	1
PA14_33260	173	0	1	1	1	1
PA14_34870	173	0	1	1	1	1
PA14_37210	173	0	1	1	1	1
PA14_37250	173	0	1	1	1	1
PA14_37290	173	0	1	1	1	1
PA14_37310	173	0	1	1	1	1
PA14_38210	173	0	1	1	1	1
PA14_38220	173	0	1	1	1	1
PA14_38260	173	0	1	1	1	1
PA14_38270	173	0	1	1	1	1
PA14_39780	173	0	1	1	1	1
PA14_39810	173	0	1	1	1	1
PA14_39880	173	0	1	1	1	1
PA14_39890	173	0	1	1	1	1
PA14_39925	173	0	1	1	1	1
PA14_39945	173	0	1	1	1	1
PA14_40230	173	0	1	1	1	1
PA14_40240	173	0	1	1	1	1
PA14_40250	173	0	1	1	1	1
PA14_40260	173	0	1	1	1	1
PA14_40290	173	0	1	1	1	1
PA14_47390	173	0	1	1	1	1
PA14_47400	173	0	1	1	1	1
PA14_55580	173	0	1	1	1	1
PA14_55840	173	0	1	1	1	1
PA14_55860	173	0	1	1	1	1
PA14_55880	173	0	1	1	1	1
PA14_55890	173	0	1	1	1	1
PA14_55900	173	0	1	1	1	1
PA14_55920	173	0	1	1	1	1
PA14_55930	173	0	1	1	1	1
PA14_55940	173	0	1	1	1	1
PA14_57990	173	0	1	1	1	1
PA14_58000	173	0	1	1	1	1
PA14_58010	173	0	1	1	1	1
PA14_58030	173	0	1	1	1	1
PA14_58040	173	0	1	1	1	1
PA14_60480	173	0	1	1	1	1
PA14_61910	173	0	1	1	1	1
PA14_62330	173	0	1	1	1	1
PA14_64690	173	0	1	1	1	1
