source	target	corr
PA14_06170	PA14_06180	0.879545532515393
PA14_09210	PA14_09220	0.975580269645648
PA14_09210	PA14_09230	0.958945310176648
PA14_09220	PA14_09230	0.941464865976106
PA14_09210	PA14_09240	0.9835739504204
PA14_09220	PA14_09240	0.97255831065031
PA14_09230	PA14_09240	0.972446507759662
PA14_09210	PA14_09270	0.954302933401862
PA14_09220	PA14_09270	0.919930258834678
PA14_09230	PA14_09270	0.902884280332146
PA14_09240	PA14_09270	0.940573765536367
PA14_09210	PA14_09280	0.961567431433273
PA14_09220	PA14_09280	0.930063305521914
PA14_09230	PA14_09280	0.896843670673846
PA14_09240	PA14_09280	0.930851129649621
PA14_09270	PA14_09280	0.94786592718322
PA14_09210	PA14_09290	0.929010989943623
PA14_09220	PA14_09290	0.894314508309437
PA14_09230	PA14_09290	0.923551809596531
PA14_09240	PA14_09290	0.921574498984036
PA14_09270	PA14_09290	0.908649126671044
PA14_09280	PA14_09290	0.956130414580801
PA14_09210	PA14_09300	0.945105184525234
PA14_09220	PA14_09300	0.948449329263963
PA14_09230	PA14_09300	0.901426099122947
PA14_09240	PA14_09300	0.92788243747086
PA14_09270	PA14_09300	0.922232763757545
PA14_09280	PA14_09300	0.961673344170925
PA14_09290	PA14_09300	0.956242918643872
PA14_09210	PA14_09320	0.933051955056585
PA14_09220	PA14_09320	0.892722654255765
PA14_09230	PA14_09320	0.923096458695667
PA14_09240	PA14_09320	0.914502280012764
PA14_09270	PA14_09320	0.91456115533849
PA14_09280	PA14_09320	0.939608715417829
PA14_09290	PA14_09320	0.97496862435847
PA14_09300	PA14_09320	0.95170499301638
PA14_09210	PA14_09340	0.955467130079423
PA14_09220	PA14_09340	0.946162098673442
PA14_09230	PA14_09340	0.940232526501828
PA14_09240	PA14_09340	0.961062135938862
PA14_09270	PA14_09340	0.957459651223309
PA14_09280	PA14_09340	0.948348711238891
PA14_09290	PA14_09340	0.940230637065987
PA14_09300	PA14_09340	0.951905813845079
PA14_09320	PA14_09340	0.94003864519943
PA14_09210	PA14_09350	0.870649347342351
PA14_09220	PA14_09350	0.890328349675568
PA14_09230	PA14_09350	0.844360507194816
PA14_09240	PA14_09350	0.885653787565194
PA14_09270	PA14_09350	0.816431023073236
PA14_09280	PA14_09350	0.809535655737815
PA14_09290	PA14_09350	0.804775650932085
PA14_09300	PA14_09350	0.852869048288947
PA14_09320	PA14_09350	0.817291639864533
PA14_09340	PA14_09350	0.868101820018784
PA14_09210	PA14_09370	0.947979253074091
PA14_09220	PA14_09370	0.923142134913923
PA14_09230	PA14_09370	0.91898833167755
PA14_09240	PA14_09370	0.927703754426241
PA14_09270	PA14_09370	0.901119203190519
PA14_09280	PA14_09370	0.936387278946361
PA14_09290	PA14_09370	0.927212001845289
PA14_09300	PA14_09370	0.928465519445115
PA14_09320	PA14_09370	0.949958142586207
PA14_09340	PA14_09370	0.935026035599491
PA14_09350	PA14_09370	0.877388897106423
PA14_09210	PA14_09380	0.939729580507766
PA14_09220	PA14_09380	0.938082603131679
PA14_09230	PA14_09380	0.923416173775005
PA14_09240	PA14_09380	0.942610512928534
PA14_09270	PA14_09380	0.884160959123548
PA14_09280	PA14_09380	0.913991844372976
PA14_09290	PA14_09380	0.904253998613599
PA14_09300	PA14_09380	0.914081758571426
PA14_09320	PA14_09380	0.888679223575818
PA14_09340	PA14_09380	0.929650927857925
PA14_09350	PA14_09380	0.888323317844712
PA14_09370	PA14_09380	0.916734440052676
PA14_06180	PA14_18680	0.813517081266818
PA14_28970	PA14_28980	0.90469496723722
PA14_26020	PA14_31290	0.849870404675627
PA14_11140	PA14_31350	0.948518815672092
PA14_26020	PA14_31350	0.849162345640919
PA14_31290	PA14_31350	0.835883762401065
PA14_09350	PA14_32720	0.810201436993446
PA14_06180	PA14_33260	0.80086395758945
PA14_28980	PA14_33260	0.801376423924341
PA14_09500	PA14_34870	0.835832897959197
PA14_11140	PA14_34870	0.825962498961324
PA14_26020	PA14_34870	0.846441728267381
PA14_31290	PA14_34870	0.891623275652965
PA14_31350	PA14_34870	0.85195706952268
PA14_00620	PA14_37210	0.834974091689893
PA14_00620	PA14_37250	0.797953612728579
PA14_37210	PA14_37250	0.842596146788349
PA14_00620	PA14_37290	0.869295063923293
PA14_37210	PA14_37290	0.90864868915903
PA14_37250	PA14_37290	0.849524859320141
PA14_00620	PA14_37310	0.864553850626104
PA14_37210	PA14_37310	0.910037927559358
PA14_37250	PA14_37310	0.859918990368875
PA14_37290	PA14_37310	0.958184699451062
PA14_06170	PA14_38210	0.818896894637052
PA14_09220	PA14_38210	0.80090493628261
PA14_09290	PA14_38210	0.800979035999774
PA14_09300	PA14_38210	0.837005282917606
PA14_09320	PA14_38210	0.808449990305947
PA14_09340	PA14_38210	0.804356081430605
PA14_09350	PA14_38210	0.847084020681131
PA14_09970	PA14_38210	0.811894273086004
PA14_33260	PA14_38210	0.863005566112857
PA14_09350	PA14_38220	0.839800478186602
PA14_32720	PA14_38220	0.800364866851719
PA14_33260	PA14_38220	0.83156406912813
PA14_38210	PA14_38220	0.870158267557527
PA14_16100	PA14_38260	0.831971185463873
PA14_09500	PA14_38270	0.807024265268664
PA14_11140	PA14_38270	0.801733674089235
PA14_16100	PA14_38270	0.840878995206555
PA14_34870	PA14_38270	0.816616880729853
PA14_38260	PA14_38270	0.89115291574842
PA14_26020	PA14_39780	0.858099524903442
PA14_09350	PA14_39810	0.821882573625751
PA14_09380	PA14_39810	0.808964151927307
PA14_32720	PA14_39810	0.918293158015257
PA14_09450	PA14_39880	0.889627028846
PA14_09450	PA14_39890	0.9806510089333
PA14_39880	PA14_39890	0.932272771777941
PA14_09450	PA14_39925	0.977346069644622
PA14_39880	PA14_39925	0.911734659031021
PA14_39890	PA14_39925	0.98234282983754
PA14_09450	PA14_39945	0.852065190686548
PA14_39880	PA14_39945	0.936202450283103
PA14_39890	PA14_39945	0.901491822157008
PA14_39925	PA14_39945	0.889918918382126
PA14_39780	PA14_40230	0.803816496586285
PA14_39780	PA14_40240	0.845509339325089
PA14_40230	PA14_40240	0.903062232431933
PA14_39780	PA14_40250	0.853355607013885
PA14_40230	PA14_40250	0.912627432216434
PA14_40240	PA14_40250	0.968081423089153
PA14_26020	PA14_40260	0.847520777599373
PA14_31290	PA14_40260	0.798622093508626
PA14_39780	PA14_40260	0.890289173140801
PA14_40230	PA14_40260	0.87219631811506
PA14_40240	PA14_40260	0.920800965877372
PA14_40250	PA14_40260	0.947118039434503
PA14_11140	PA14_40290	0.96411355706105
PA14_26020	PA14_40290	0.849103946931138
PA14_31290	PA14_40290	0.823782187981349
PA14_31350	PA14_40290	0.954281110983356
PA14_34870	PA14_40290	0.840943777886861
PA14_09350	PA14_47390	0.800123969642894
PA14_33260	PA14_47390	0.80416984640616
PA14_38210	PA14_47390	0.829795048443531
PA14_38220	PA14_47390	0.904259082374644
PA14_28980	PA14_47400	0.83312835777929
PA14_32720	PA14_47400	0.818895372485448
PA14_38220	PA14_47400	0.863232418420781
PA14_39810	PA14_47400	0.802209654853433
PA14_47390	PA14_47400	0.84234839047226
PA14_06180	PA14_55580	0.832985443751648
PA14_33260	PA14_55580	0.879275015640379
PA14_38210	PA14_55580	0.849021507618244
PA14_38220	PA14_55580	0.848868578332661
PA14_47390	PA14_55580	0.800988368126681
PA14_39780	PA14_55840	0.820245387415444
PA14_26020	PA14_55860	0.802822335691183
PA14_40240	PA14_55860	0.840492756222728
PA14_40250	PA14_55860	0.811872623072032
PA14_55840	PA14_55860	0.8396362725737
PA14_26020	PA14_55880	0.869193193507394
PA14_31290	PA14_55880	0.855876777511007
PA14_34870	PA14_55880	0.798752730138818
PA14_39780	PA14_55880	0.870047141332984
PA14_40230	PA14_55880	0.802109230843124
PA14_40240	PA14_55880	0.813778894074478
PA14_40250	PA14_55880	0.835439150418661
PA14_40260	PA14_55880	0.840257577573938
PA14_55860	PA14_55880	0.871246161810336
PA14_26020	PA14_55890	0.900393795854827
PA14_39780	PA14_55890	0.819932303949669
PA14_40240	PA14_55890	0.821462093205591
PA14_40250	PA14_55890	0.812349595097724
PA14_40260	PA14_55890	0.836773970178991
PA14_55840	PA14_55890	0.834734902115563
PA14_55880	PA14_55890	0.884125497245142
PA14_26020	PA14_55900	0.860301192847866
PA14_31290	PA14_55900	0.839299700901289
PA14_39780	PA14_55900	0.826835361155212
PA14_40240	PA14_55900	0.816178481567056
PA14_40250	PA14_55900	0.821689651589621
PA14_40260	PA14_55900	0.80369368591223
PA14_55840	PA14_55900	0.816559883730924
PA14_55860	PA14_55900	0.899297208503425
PA14_55880	PA14_55900	0.956796246006101
PA14_55890	PA14_55900	0.914802311532954
PA14_26020	PA14_55920	0.866818479833355
PA14_39780	PA14_55920	0.862643153574634
PA14_40250	PA14_55920	0.823108513734975
PA14_40260	PA14_55920	0.806341735978935
PA14_55840	PA14_55920	0.878744715454745
PA14_55860	PA14_55920	0.817039545693648
PA14_55880	PA14_55920	0.895620890524582
PA14_55890	PA14_55920	0.919867771364328
PA14_55900	PA14_55920	0.91231470972629
PA14_26020	PA14_55930	0.896683772637457
PA14_31290	PA14_55930	0.83885372192311
PA14_31350	PA14_55930	0.82746108624221
PA14_34870	PA14_55930	0.807275842266072
PA14_39780	PA14_55930	0.893802858646434
PA14_40230	PA14_55930	0.846430283976402
PA14_40240	PA14_55930	0.909108364446244
PA14_40250	PA14_55930	0.925793815831082
PA14_40260	PA14_55930	0.930935234924544
PA14_55840	PA14_55930	0.882678615747706
PA14_55860	PA14_55930	0.878595400148152
PA14_55880	PA14_55930	0.910182577875219
PA14_55890	PA14_55930	0.886407281520393
PA14_55900	PA14_55930	0.888228286878379
PA14_55920	PA14_55930	0.892057612512298
