gene	degree	betweenness	closeness	clustering_coeff	module	component
PA14_06170	5	9.77113653169991e-05	0.467532467532468	0.9	1	1
PA14_09210	12	0	0.455696202531646	1	2	1
PA14_09220	13	0.00101787104520287	0.545454545454545	0.91025641025641	2	1
PA14_09230	12	0	0.455696202531646	1	2	1
PA14_09240	12	0	0.455696202531646	1	2	1
PA14_09270	12	0	0.455696202531646	1	2	1
PA14_09280	12	0	0.455696202531646	1	2	1
PA14_09290	13	0.00101787104520287	0.545454545454545	0.91025641025641	2	1
PA14_09300	13	0.00101787104520287	0.545454545454545	0.91025641025641	2	1
PA14_09320	13	0.00101787104520287	0.545454545454545	0.91025641025641	2	1
PA14_09340	13	0.00101787104520287	0.545454545454545	0.91025641025641	2	1
PA14_09350	19	0.013509104490834	0.654545454545455	0.497076023391813	2	1
PA14_09370	12	0	0.455696202531646	1	2	1
PA14_06180	7	0.000668633543153389	0.444444444444444	0.619047619047619	1	1
PA14_28970	2	0	0.363636363636364	1	1	1
PA14_26020	13	0.0108880211200012	0.300546448087432	0.58974358974359	3	2
PA14_11140	4	0.000295479168718605	0.205992509363296	0.666666666666667	3	2
PA14_31290	9	0.00876325069572791	0.294117647058824	0.666666666666667	3	2
PA14_28980	7	0.00104889242213186	0.461538461538462	0.476190476190476	1	1
PA14_09500	2	0	0.204460966542751	1	3	2
PA14_31350	6	0.00163051874940856	0.246636771300448	0.733333333333333	3	2
PA14_00620	4	0	1	1	4	3
PA14_37210	4	0	1	1	4	3
PA14_37250	4	0	1	1	4	3
PA14_37290	4	0	1	1	4	3
PA14_09970	2	0	0.428571428571429	1	1	1
PA14_33260	11	0.000619923539257726	0.529411764705882	0.745454545454545	1	1
PA14_32720	5	0.000329013709295399	0.486486486486487	0.7	1	1
PA14_38210	20	0.0159324984524433	0.692307692307692	0.4	1	1
PA14_16100	2	0	0.172413793103448	1	3	2
PA14_34870	9	0.0218171292943456	0.252293577981651	0.444444444444444	3	2
PA14_38260	2	0	0.172413793103448	1	3	2
PA14_09380	13	0.000814912786743773	0.473684210526316	0.858974358974359	2	1
PA14_09450	4	0	1	1	5	4
PA14_39880	4	0	1	1	5	4
PA14_39890	4	0	1	1	5	4
PA14_39925	4	0	1	1	5	4
PA14_39780	12	0.000936103618373708	0.291005291005291	0.787878787878788	3	2
PA14_40230	7	0	0.282051282051282	1	3	2
PA14_40240	10	0.000569852682528738	0.286458333333333	0.844444444444444	3	2
PA14_40250	11	0.000597211864817498	0.287958115183246	0.836363636363636	3	2
PA14_38220	15	0.00288576414228931	0.631578947368421	0.6	1	1
PA14_39810	6	0.00115862201206434	0.507042253521127	0.533333333333333	1	1
PA14_47390	14	0.00183759123112024	0.610169491525424	0.637362637362637	1	1
PA14_55840	6	2.46232640598838e-05	0.240174672489083	0.866666666666667	3	2
PA14_40260	12	0.000252035546153193	0.291005291005291	0.803030303030303	3	2
PA14_55860	8	0.00012494294805811	0.243362831858407	0.75	3	2
PA14_55880	14	0.00722416104561921	0.302197802197802	0.681318681318681	3	2
PA14_55890	11	0.000814394341734854	0.289473684210526	0.836363636363636	3	2
PA14_55900	13	0.00151579526061713	0.292553191489362	0.743589743589744	3	2
PA14_55920	11	0.00128237315478409	0.289473684210526	0.818181818181818	3	2
PA14_55930	16	0.0110871890697906	0.305555555555556	0.583333333333333	3	2
PA14_47400	8	0.000426308673870971	0.461538461538462	0.607142857142857	1	1
PA14_55580	11	0.000309713049789874	0.521739130434783	0.836363636363636	1	1
PA14_13450	1	0	0.395604395604396	0	1	1
PA14_57990	9	0.000606879276976785	0.473684210526316	0.611111111111111	1	1
PA14_58000	10	0.000108342361863489	0.507042253521127	0.888888888888889	1	1
PA14_58010	16	0.00597979452505209	0.642857142857143	0.541666666666667	1	1
PA14_58030	18	0.00640739476551552	0.666666666666667	0.496732026143791	1	1
PA14_58040	14	0.00104121941509906	0.553846153846154	0.67032967032967	1	1
PA14_18680	2	0	0.356435643564356	1	1	1
PA14_60480	12	0.00051631040747558	0.529411764705882	0.757575757575758	1	1
PA14_62330	11	0.0032073418116952	0.529411764705882	0.618181818181818	1	1
PA14_64690	6	2.39197422296014e-05	0.473684210526316	0.933333333333333	1	1
PA14_06650	14	0.000322809429207347	0.286458333333333	0.791208791208791	6	2
PA14_06660	14	0.00177192820058881	0.289473684210526	0.659340659340659	6	2
PA14_06670	19	0.00332514870389933	0.298913043478261	0.619883040935672	6	2
PA14_06680	16	0.00639936182286915	0.339506172839506	0.733333333333333	6	2
PA14_06690	10	0	0.276381909547739	1	6	2
PA14_06700	12	8.80183978775528e-05	0.279187817258883	0.893939393939394	6	2
PA14_06710	18	0.00757505604611433	0.34375	0.660130718954248	6	2
PA14_06720	16	0.00612651292133091	0.335365853658537	0.675	6	2
PA14_06730	15	0.004327600379868	0.337423312883436	0.780952380952381	6	2
PA14_06740	19	0.00850871322103645	0.345911949685535	0.60233918128655	6	2
PA14_06750	18	0.00973816216035832	0.34375	0.61437908496732	6	2
PA14_06790	13	0.00645051129663222	0.286458333333333	0.653846153846154	6	2
PA14_06810	14	0.00338848279316776	0.287958115183246	0.681318681318681	6	2
PA14_06830	15	0.00551805688395977	0.289473684210526	0.628571428571429	6	2
PA14_06860	4	0	0.303867403314917	1	6	2
PA14_13290	11	0.0528563633978419	0.369127516778524	0.509090909090909	6	2
PA14_13300	3	0.0053186250369349	0.3125	0.333333333333333	6	2
PA14_55940	14	0.0749097721757208	0.352564102564103	0.582417582417582	3	2
PA14_13750	4	0.0734347811812601	0.371621621621622	0.333333333333333	6	2
PA14_13770	5	0.0194517259623311	0.354838709677419	0.6	6	2
PA14_13780	10	0.00992712313416861	0.319767441860465	0.666666666666667	6	2
PA14_13800	6	0.0105010491264619	0.27363184079602	0.533333333333333	6	2
PA14_13810	1	0	0.179153094462541	0	6	2
PA14_06840	7	0.000112819318965286	0.238095238095238	0.857142857142857	6	2
PA14_20170	5	0	0.234042553191489	1	6	2
PA14_20180	6	2.41755683497041e-05	0.236051502145923	0.933333333333333	6	2
PA14_13830	9	0.000540167441246267	0.282051282051282	0.75	6	2
PA14_20190	11	0.00183093548915567	0.282051282051282	0.636363636363636	6	2
PA14_20200	13	0.00418874142515011	0.287958115183246	0.512820512820513	6	2
PA14_07990	18	4.1024373863514e-05	0.682926829268293	0.954248366013072	7	5
PA14_07980	12	1.31324074986047e-05	0.595744680851064	0.96969696969697	7	5
PA14_08000	17	0.000128431818572664	0.666666666666667	0.911764705882353	7	5
PA14_08020	22	0.000197646439831412	0.756756756756757	0.887445887445887	7	5
PA14_08040	23	0.00131465967272173	0.777777777777778	0.837944664031621	7	5
PA14_08030	8	0	0.549019607843137	1	7	5
PA14_08060	15	4.10387734331396e-05	0.636363636363636	0.952380952380952	7	5
PA14_08070	24	0.00425907796605167	0.848484848484849	0.771739130434783	7	5
PA14_08090	22	0.000180003320395719	0.756756756756757	0.896103896103896	7	5
PA14_08100	21	0.000120241956093825	0.736842105263158	0.914285714285714	7	5
PA14_08120	23	0.000234643515880985	0.777777777777778	0.877470355731225	7	5
PA14_08130	23	0.000234643515880985	0.777777777777778	0.877470355731225	7	5
PA14_08140	20	6.60281374753969e-05	0.717948717948718	0.942105263157895	7	5
PA14_08150	22	0.00340095157034148	0.8	0.826839826839827	7	5
PA14_08160	22	0.000344487949933457	0.756756756756757	0.852813852813853	7	5
PA14_08200	19	3.32896873907644e-05	0.7	0.964912280701754	7	5
PA14_08210	23	0.000382502813745208	0.777777777777778	0.849802371541502	7	5
PA14_08220	20	0.000197049882001698	0.717948717948718	0.9	7	5
PA14_08230	23	0.000347317156083434	0.777777777777778	0.861660079051383	7	5
PA14_08240	22	0.000180003320395719	0.756756756756757	0.896103896103896	7	5
PA14_08250	22	0.000132742997847304	0.756756756756757	0.913419913419913	7	5
PA14_08260	21	7.09527902873736e-05	0.736842105263158	0.942857142857143	7	5
PA14_08270	19	4.48877309229707e-05	0.7	0.95906432748538	7	5
PA14_08280	24	0.000468916285365022	0.8	0.829710144927536	7	5
PA14_16140	1	0	0.264150943396226	0	8	5
PA14_03410	7	0	1	1	9	6
PA14_20500	7	0	1	1	9	6
PA14_27190	7	0	1	1	9	6
PA14_30420	7	0	1	1	9	6
PA14_30720	7	0	1	1	9	6
PA14_51230	7	0	1	1	9	6
PA14_16150	2	0.00265931251846745	0.354430379746835	0	8	5
PA14_08300	25	0.00184781907271851	0.823529411764706	0.766666666666667	7	5
PA14_52560	7	0	1	1	9	6
PA14_17700	1	0	1	0	10	7
PA14_45000	1	0	1	0	11	8
PA14_37310	4	0	1	1	4	3
PA14_38270	5	0.0104895104895105	0.206766917293233	0.3	3	2
PA14_39945	4	0	1	1	5	4
PA14_40290	5	0.000919268524902326	0.241228070175439	0.8	3	2
PA14_64700	11	0.00356808684273473	0.529411764705882	0.509090909090909	1	1
PA14_06800	1	0	0.223577235772358	0	6	2
PA14_13320	1	0	0.239130434782609	0	6	2
PA14_13840	2	0.0053186250369349	0.217391304347826	0	6	2
PA14_20230	15	0.00608166015989489	0.337423312883436	0.695238095238095	6	2
PA14_53820	3	0.00512163892445583	0.518518518518518	0.333333333333333	8	5
PA14_63010	2	0	0.466666666666667	1	7	5
PA14_63460	7	0	1	1	9	6
PA14_17710	1	0	1	0	10	7
PA14_01300	1	0	0.261904761904762	0	3	2
PA14_18550	1	0	1	0	11	8
