"","anoxic_1","anoxic_2","attachment.control_1","attachment.control_2","attachment_1","attachment_2","biofilm.24h_1","biofilm.24h_2","biofilm.48h_1","biofilm.48h_2","low.phosphate_1","low.phosphate_2","exponential.growth_1","exponential.growth_2","exponential.growth_3","exponential.growth_4","exponential.growth_5","exponential.growth_6","ex.vivo.tumor_1","ex.vivo.tumor_2","heat.shock_42_1","heat.shock_42_2","heat.shock_50_1","heat.shock_50_2","heat.shock_50_3","heat.shock_50_4","iron.starvation_1","iron.starvation_2","iron.starvation_3","iron.starvation_4","iron.starvation_5","iron.starvation_6","iron.starvation_7","iron.starvation_8","low.osmolarity_1","low.osmolarity_2","low.osmolarity_3","low.osmolarity_4","stationary.phase_1","stationary.phase_2","transitional.growth_1","transitional.growth_2","transitional.growth_3","transitional.growth_4","transitional.growth_5","transitional.growth_6","transitional.growth_7"
"PA14_00620",3.27921003639235,2.06627534492862,2.89056522489752,2.98464839545581,2.06627534492862,2.72688909476348,4.32137303703288,4.85714759964083,4.31798630600363,4.1855510883517,2.68919131222915,2.93126078594274,3.13242045892805,3.17870149937668,3.15426615954933,2.89469405858097,3.48816346871907,3.43651236114419,2.06627534492862,4.06701201952996,3.98968166416928,4.45034212390031,2.68229939561653,3.19623995965178,3.50377834588652,3.20007495129563,6.4595563517692,6.58290536258091,6.22847348785558,7.122735197419,6.50248953029219,7.00534932973767,6.63062660401886,6.64442248601949,3.52035559371688,3.90822768286164,3.87074557299073,4.02469974272035,3.38192685973974,4.96982133770036,4.64683720064625,3.62948518755904,5.23124014025517,3.61413951352199,4.84680552135425,4.18253848845427,5.11484971867316
"PA14_00650",3.27921003639235,4.93318414234389,3.45879705600323,2.06627534492862,3.88934250504385,3.73484041831166,4.32137303703288,4.71529959395134,5.95507708886102,6.00942717159241,5.99114320756266,5.34045843931444,3.13242045892805,3.35952934237503,2.84449227288901,3.22278262154679,3.20651812443996,2.96955468802791,2.06627534492862,2.06627534492862,5.13564958962246,5.22403618748104,3.11794435280041,2.06627534492862,2.06627534492862,3.4803366914879,5.76935464478811,5.87554241007354,5.28209482345204,6.65059485086236,5.39109448854291,6.17103787479476,5.61226919345247,6.17327192215299,2.06627534492862,2.9339834370312,2.06627534492862,3.42382988965961,5.2145351477144,5.88365951993762,5.05893844571937,4.12805831478784,5.66858985435336,4.55674763292773,4.57291473110106,3.98385918727312,4.52440210046264
"PA14_06170",4.32603027121996,4.12795575403488,4.84996906459708,4.30562283857354,4.23929828541966,4.0207014966695,3.96155650770476,3.18590382992242,4.72161354397026,4.61076644519979,3.4198116012664,2.06627534492862,2.4103283440927,2.46809338447026,2.56200944511441,2.06627534492862,2.7984619804711,2.06627534492862,4.40761634305479,4.06701201952996,2.89934003799216,4.86827339365245,3.40561789969801,3.19623995965178,3.02880589188596,3.0853565707567,4.77927342602756,5.82845693499322,5.59376877428419,6.1351477053913,5.28684192297634,5.8463774391946,5.29171775552301,6.03125500682974,3.11527972668102,2.9339834370312,2.06627534492862,2.06627534492862,6.16107086330329,6.22467538634606,3.33880435475584,3.36200086067634,4.00638977612198,3.61413951352199,3.88039421508185,2.92699273646834,3.52899917417269
"PA14_06180",4.89523308269023,5.04980974172529,4.52783185518608,5.01823625173326,4.07630859097117,4.62306377993508,4.83718961606942,4.71529959395134,5.12287856031973,4.81362271387449,3.83642695882263,3.52418444940353,2.4103283440927,2.46809338447026,2.56200944511441,2.6560220683125,2.58675652188179,2.47549148260667,4.69666087613183,4.06701201952996,2.89934003799216,4.95553986453906,2.06627534492862,3.19623995965178,2.62878695785523,2.79420348990339,5.8304971447266,6.28551342912999,5.81540327420309,6.60805920836001,5.46453007722825,6.00936569120932,5.33342232297766,6.06810147479025,2.68069453342055,2.06627534492862,2.06627534492862,2.06627534492862,6.17359599448091,6.43591948983792,3.52130760896104,2.66119042150497,4.20210890152125,2.06627534492862,3.38848707725159,2.86478405591871,3.62143878661224
"PA14_09210",3.27921003639235,4.33228853262041,6.21263967605803,6.00603356581106,6.72032945037746,6.69793942492171,8.26755595956032,8.39709825148447,8.7041367808896,8.7077773144728,3.74546298771259,5.09731863970995,5.54751396411585,5.54175187823501,5.44055204490708,5.29100737527718,3.40253873140273,4.44753413552342,7.1798813220658,6.38569357181859,6.34659323347988,7.56653446837296,3.52391376827701,6.43574040922027,4.44329384448441,5.80682200568806,9.81245757823086,10.6623578600508,10.8174899047591,11.1891733092165,9.5240161292217,10.4324842085767,10.5036080575563,10.7633216378247,3.26926553182011,4.19760190623095,2.06627534492862,4.2812886995788,10.2158372060963,10.5355853527028,8.19041861621471,5.32483890301491,8.28284769852049,7.63764186212084,8.76306237133725,5.57621913544263,7.14456640461809
"PA14_09220",2.06627534492862,3.88479150035994,4.22303696941418,4.75670397099038,4.51483223007274,4.95624720488967,6.51530015548323,6.73224436847046,6.77979952577678,6.65052747797102,2.06627534492862,4.05555024463067,3.86719586963527,4.26571199481516,4.35786651749912,3.9082147041657,2.06627534492862,3.32442316630733,4.93513479317326,5.17730757815614,4.54963612223486,5.03765295946533,2.06627534492862,5.33557978376169,3.1712327107074,3.55934668200069,7.76953248094716,8.63294806742985,8.94037138916263,9.35683252371976,7.73017298583692,8.56868385986321,8.62426957953252,8.86891853592163,2.68069453342055,2.9339834370312,2.06627534492862,3.04324644571707,8.30439866167868,8.69032659327836,6.30039828573857,3.8459199667542,6.3723975921085,5.80153886490207,6.61709076596402,4.06708018156271,5.27508354239105
"PA14_09230",3.27921003639235,2.06627534492862,5.33091493106471,5.36804835188807,5.64296558139011,5.45015467517221,7.0113512327818,6.49792883947476,7.47905629770589,6.85877247325938,3.4198116012664,4.31498430338399,4.66645566077052,4.60474682965737,4.6528915011462,4.78714360724243,2.95839046019266,3.71676667370086,6.34143246000969,5.51465479380997,5.07457196927645,6.51148522499128,2.06627534492862,4.39638457925918,3.29463119946083,3.88901385005661,8.75614955968437,9.41075658624123,9.69141479082956,10.1077663054505,8.58981585591122,9.37076876009769,9.77721211690473,9.47720687841038,3.52035559371688,3.27620783609213,2.06627534492862,3.92625063914977,9.30108036633251,9.78073690840464,5.99329408557559,4.30508663210062,7.10692576468847,6.90159005297944,7.81977698827091,4.69514022170481,6.16466728593205
"PA14_09240",3.27921003639235,3.58084102425173,6.03792176202817,6.15615022819375,5.74972944463022,6.29913392901787,7.78585726375674,8.17681615445319,8.14050281322088,8.47495120753694,3.83642695882263,5.59523067149279,5.12583012695232,5.1298936568954,4.96745310491524,4.62626452432796,2.7984619804711,4.04176697549324,6.82090070908879,7.03173148144702,5.45509324427571,7.43862959720808,2.68229939561653,6.01955143148631,3.75781249512792,4.47838290216395,9.57018121138329,10.1585022967668,10.4801636838168,10.9085218259448,9.65149366586804,10.3364043463475,10.0340564623132,10.1998472224167,3.40230940122306,4.4339972577971,2.06627534492862,4.35670428560098,9.76629560025069,10.2406748759786,7.53538717920779,5.22969973455811,8.19364119750381,7.02430630955111,8.14768689138786,5.17739758740649,6.74557151529622
"PA14_09270",4.54337782766475,5.67253889771832,8.310019625351,8.30137320977594,8.33495394659611,8.4424669372515,8.8130621208994,8.85923527666936,9.4876981822174,9.42067158275578,4.21188273390837,5.68558006154734,6.91824777912011,6.91152190809272,6.88679947093211,6.48845406951036,4.11099916884844,5.67563076291509,11.0016775650156,11.6674102565992,6.72568116800464,8.86281035608812,3.63074236892883,8.60542173989967,5.85102964299606,7.71633623342955,10.725192521536,11.7514035397555,11.8159161398645,12.384309705386,10.7520449299409,11.5307556773723,11.7484166009092,12.1748911162603,3.11527972668102,4.72505541903995,2.06627534492862,5.24178818801118,11.0651133785441,11.5547336512028,8.63077918888772,6.50023530563834,8.91200019571787,8.27846105746781,9.68548830764882,6.71644204440905,8.42246850599373
"PA14_09280",4.32603027121996,5.35074708099795,8.38469516410525,8.09455673218215,8.64775123975828,8.91269685257967,9.45907358523297,9.8545423380514,10.0530465090562,10.210672905135,4.82655822977819,6.03343201054562,7.38315827645762,7.23672929628878,7.70419462997931,6.99385931706585,4.15897067497727,5.7779011127509,8.41389761576361,7.68891077142051,8.8740200812918,9.7076501787073,4.31460558908387,10.2615212725746,7.58048791475363,9.42718517390715,11.9706563882995,12.2882366939099,12.5839042539543,12.8051591903802,11.6805271312915,11.625186583638,12.4270781562699,12.6713220250007,3.26926553182011,5.85879177822364,3.15156430089589,5.58229871191304,11.6380999551813,12.1488265309092,9.58108135619718,7.12628102693678,8.80977337774359,9.35563024940951,9.16488272557154,6.8294312929363,7.68982742615273
